location,technology,capacity,units
AUS,SunPV,5000.0,100
AUS,WindOn,4400.0,44
BEL,Gas,4250.0,17
BEL,WindOn,9500.0,95
BLK,Nuclear,35000.0,35
BLT,Gas,2250.0,9
BLT,Oil,100.0,1
BLT,WindOn,4500.0,45
CZE,Nuclear,9000.0,9
DEN,Gas,3000.0,12
DEN,WindOn,12300.0,123
FIN,Nuclear,5000.0,5
FIN,WindOn,8900.0,89
FRA,Nuclear,63000.0,63
GER,Gas,56500.0,226
GER,WindOff,34600.0,346
GER,WindOn,16000.0,160
IRE,Gas,5250.0,21
IRE,WindOn,6700.0,67
ITA,Gas,26750.0,107
ITA,SunPV,54350.0,1087
NED,SunPV,23050.0,461
NED,WindOff,16100.0,161
NED,WindOn,151400.0,1514
NOR,SunPV,37850.0,757
NOR,WindOff,36800.0,368
NOR,WindOn,179700.0,1797
POL,Gas,8750.0,35
POL,WindOff,8400.0,84
POL,WindOn,19500.0,195
POR,Gas,2250.0,9
POR,SunPV,1250.0,25
POR,WindOn,600.0,6
SKO,Nuclear,3000.0,3
SPA,Nuclear,27000.0,27
SWE,Gas,750.0,3
SWE,Nuclear,11000.0,11
SWI,Nuclear,19000.0,19
UKI,Nuclear,40000.0,40
