location,technology,capacity,units
AUS,WindOn,6200.0,62
BEL,Gas,4500.0,18
BEL,Oil,100.0,1
BEL,WindOn,9400.0,94
BLK,Nuclear,30000.0,30
BLT,Gas,750.0,3
BLT,WindOff,1300.0,13
BLT,WindOn,2100.0,21
CZE,Nuclear,7000.0,7
DEN,Gas,3750.0,15
DEN,WindOn,13200.0,132
FIN,Gas,1250.0,5
FIN,Nuclear,1000.0,1
FIN,WindOn,13800.0,138
FRA,Nuclear,50000.0,50
GER,Gas,25000.0,100
GER,WindOff,30000.0,300
GER,WindOn,38300.0,383
IRE,Gas,1500.0,6
IRE,Oil,100.0,1
IRE,WindOn,7600.0,76
ITA,Gas,18750.0,75
ITA,SunPV,30700.0,614
ITA,WindOn,26600.0,266
NED,WindOff,17000.0,170
NED,WindOn,55700.0,557
NOR,WindOff,27800.0,278
NOR,WindOn,122700.0,1227
POL,Gas,5750.0,23
POL,WindOn,24500.0,245
POR,Gas,1250.0,5
POR,SunPV,1550.0,31
POR,WindOn,1200.0,12
SKO,Nuclear,3000.0,3
SPA,Nuclear,26000.0,26
SWE,Gas,3500.0,14
SWE,Nuclear,4000.0,4
SWE,WindOn,7500.0,75
SWI,Nuclear,17000.0,17
UKI,Gas,10500.0,42
UKI,Nuclear,26000.0,26
UKI,WindOn,28100.0,281
