from,to,rep_period,time_step,scenario,flow
AUS,BLK,1,6,1982,-1746.0
AUS,BLK,1,6,1987,1686.0
AUS,BLK,1,6,1992,-1746.0
AUS,BLK,1,6,1995,1686.0
AUS,BLK,1,6,1997,-1746.0
AUS,BLK,1,6,2002,1686.0
AUS,BLK,1,6,2008,-1746.0
AUS,BLK,1,6,2009,-1746.0
AUS,BLK,1,6,2012,1686.0
AUS,BLK,1,7,1900,1686.0
AUS,BLK,1,7,1982,-1746.0
AUS,BLK,1,7,1987,1686.0
AUS,BLK,1,7,1992,-1746.0
AUS,BLK,1,7,1995,1686.0
AUS,BLK,1,7,1997,-1746.0
AUS,BLK,1,7,2002,1686.0
AUS,BLK,1,7,2008,-1746.0
AUS,BLK,1,7,2009,-1746.0
AUS,BLK,1,7,2012,1686.0
AUS,BLK,1,8,1900,1686.0
AUS,BLK,1,8,1982,-1746.0
AUS,BLK,1,8,1987,1686.0
AUS,BLK,1,8,1992,1686.0
AUS,BLK,1,8,1995,1686.0
AUS,BLK,1,8,1997,-1746.0
AUS,BLK,1,8,2002,1686.0
AUS,BLK,1,8,2008,-1746.0
AUS,BLK,1,8,2009,-1746.0
AUS,BLK,1,8,2012,1686.0
AUS,BLK,1,9,1900,1686.0
AUS,BLK,1,9,1982,-1746.0
AUS,BLK,1,9,1987,1310.6423519752625
AUS,BLK,1,9,1992,-1746.0
AUS,BLK,1,9,1995,1686.0
AUS,BLK,1,9,1997,-1746.0
AUS,BLK,1,9,2002,1686.0
AUS,BLK,1,9,2008,-1746.0
AUS,BLK,1,9,2009,-1746.0
AUS,BLK,1,9,2012,1686.0
AUS,BLK,1,10,1900,1686.0
AUS,BLK,1,10,1982,-1746.0
AUS,BLK,1,10,1987,1135.4489266903438
AUS,BLK,1,10,1992,1686.0
AUS,BLK,1,10,1995,1686.0
AUS,BLK,1,10,1997,-1746.0
AUS,BLK,1,10,2002,1686.0
AUS,BLK,1,10,2008,-1746.0
AUS,BLK,1,10,2009,-1746.0
AUS,BLK,1,10,2012,1686.0
AUS,BLK,1,11,1900,1686.0
AUS,BLK,1,11,1982,-1746.0
AUS,BLK,1,11,1987,830.0601969611653
AUS,BLK,1,11,1992,1686.0
AUS,BLK,1,11,1995,1686.0
AUS,BLK,1,11,1997,-1746.0
AUS,BLK,1,11,2002,1686.0
AUS,BLK,1,11,2008,-1746.0
AUS,BLK,1,11,2009,-1746.0
AUS,BLK,1,11,2012,1686.0
AUS,BLK,1,12,1900,1686.0
AUS,BLK,1,12,1982,-1746.0
AUS,BLK,1,12,1987,391.48711171074865
AUS,BLK,1,12,1992,1686.0
AUS,BLK,1,12,1995,1686.0
AUS,BLK,1,12,1997,-1746.0
AUS,BLK,1,12,2002,1686.0
AUS,BLK,1,12,2008,-1746.0
AUS,BLK,1,12,2009,-1746.0
AUS,BLK,1,12,2012,1686.0
AUS,BLK,1,13,1900,1686.0
AUS,BLK,1,13,1982,-1746.0
AUS,BLK,1,13,1987,-128.9526020401354
AUS,BLK,1,13,1992,1686.0
AUS,BLK,1,13,1995,1686.0
AUS,BLK,1,13,1997,-1746.0
AUS,BLK,1,13,2002,1686.0
AUS,BLK,1,13,2008,-1746.0
AUS,BLK,1,13,2009,-1746.0
AUS,BLK,1,13,2012,1686.0
AUS,BLK,1,14,1900,1686.0
AUS,BLK,1,14,1982,-1746.0
AUS,BLK,1,14,1987,-1503.568598188378
AUS,BLK,1,14,1992,1686.0
AUS,BLK,1,14,1995,1686.0
AUS,BLK,1,14,1997,-1746.0
AUS,BLK,1,14,2002,1686.0
AUS,BLK,1,14,2008,-1746.0
AUS,BLK,1,14,2009,-1746.0
AUS,BLK,1,14,2012,1686.0
AUS,BLK,1,15,1900,1686.0
AUS,BLK,1,15,1982,-1746.0
AUS,BLK,1,15,1987,-1746.0
AUS,BLK,1,15,1992,1686.0
AUS,BLK,1,15,1995,1686.0
AUS,BLK,1,15,1997,-1746.0
AUS,BLK,1,15,2002,1686.0
AUS,BLK,1,15,2008,-1746.0
AUS,BLK,1,15,2009,-1746.0
AUS,BLK,1,15,2012,1686.0
AUS,BLK,1,16,1900,1686.0
AUS,BLK,1,16,1982,-1746.0
AUS,BLK,1,16,1987,-1746.0
AUS,BLK,1,16,1992,1686.0
AUS,BLK,1,16,1995,1686.0
AUS,BLK,1,16,1997,-1746.0
AUS,BLK,1,16,2002,1686.0
AUS,BLK,1,16,2008,-1746.0
AUS,BLK,1,16,2009,-1746.0
AUS,BLK,1,16,2012,1686.0
AUS,BLK,1,17,1900,1686.0
AUS,BLK,1,17,1982,-1746.0
AUS,BLK,1,17,1987,-1746.0
AUS,BLK,1,17,1992,1686.0
AUS,BLK,1,17,1995,1686.0
AUS,BLK,1,17,1997,-1746.0
AUS,BLK,1,17,2002,1686.0
AUS,BLK,1,17,2008,-1746.0
AUS,BLK,1,17,2009,-1746.0
AUS,BLK,1,17,2012,1686.0
AUS,BLK,1,18,1900,1686.0
AUS,BLK,1,18,1982,-1746.0
AUS,BLK,1,18,1987,-1746.0
AUS,BLK,1,18,1992,1686.0
AUS,BLK,1,18,1995,1686.0
AUS,BLK,1,18,1997,-1746.0
AUS,BLK,1,18,2002,1686.0
AUS,BLK,1,18,2008,-1746.0
