scenario,operational_cost
1900,1.3249406122962112e7
1982,1.8030732179219868e7
1987,6.57294865856756e7
1992,1.6647724856737398e7
1995,4.676450796814143e7
1997,9.82555185754467e7
2002,2.7663067908188667e7
2008,2.3977377165259127e7
2009,6.361225910373596e7
2012,1.4884838629968908e7
