location,technology,rep_period,time_step,scenario,production
AUS,Gas,1,36,1997,8085.918533758387
AUS,Gas,1,36,2008,8085.918533758387
AUS,Gas,1,36,2009,8085.918533758387
AUS,Gas,1,37,1997,8085.918533758387
AUS,Gas,1,37,2008,8085.918533758387
AUS,Gas,1,37,2009,8085.918533758387
AUS,Gas,1,38,1997,8085.918533758387
AUS,Gas,1,38,2008,8085.918533758387
AUS,Gas,1,38,2009,8085.918533758387
AUS,Gas,1,39,1997,8085.918533758387
AUS,Gas,1,39,2008,8085.918533758387
AUS,Gas,1,39,2009,8085.918533758387
AUS,Gas,1,40,1997,8085.918533758387
AUS,Gas,1,40,2008,8085.918533758387
AUS,Gas,1,40,2009,8085.918533758387
AUS,Gas,1,41,1997,8085.918533758387
AUS,Gas,1,41,2002,1203.4693810220633
AUS,Gas,1,41,2008,8085.918533758387
AUS,Gas,1,41,2009,8085.918533758387
AUS,Gas,1,41,2012,366.3066093324014
AUS,Gas,1,42,1987,703.4993081832646
AUS,Gas,1,42,1995,528.6715229294568
AUS,Gas,1,42,1997,8085.918533758387
AUS,Gas,1,42,2002,1278.6116186020918
AUS,Gas,1,42,2008,8085.918533758387
AUS,Gas,1,42,2009,8085.918533758387
AUS,Gas,1,42,2012,114.65600861209532
AUS,Gas,1,43,1987,556.912886143897
AUS,Gas,1,43,1995,1062.1441425092962
AUS,Gas,1,43,1997,8085.918533758387
AUS,Gas,1,43,2002,1106.1858554871524
AUS,Gas,1,43,2008,6064.43890031879
AUS,Gas,1,43,2009,8085.918533758387
AUS,Gas,1,44,1997,8085.918533758387
AUS,Gas,1,44,2009,8085.918533758387
AUS,Gas,1,45,1997,2879.931615130313
AUS,Gas,1,45,2009,8085.918533758387
AUS,Gas,1,46,1997,836.6218438399674
AUS,Gas,1,46,2009,4872.487709765421
AUS,Gas,1,47,2009,5234.333582580848
AUS,Gas,1,48,2009,4986.870432252717
AUS,Gas,1,49,2009,5173.340247522295
AUS,Gas,1,50,2009,5390.253995549773
AUS,Gas,1,51,2009,5542.294902622736
AUS,Gas,1,52,2009,5869.000564093828
AUS,Gas,1,53,2009,6097.530700102136
AUS,Gas,1,54,2009,6546.713395470182
AUS,Gas,1,55,2009,7339.040756248972
AUS,Gas,1,56,2002,1482.8422050269805
AUS,Gas,1,56,2009,8019.1005751823695
AUS,Gas,1,57,1995,455.09104769743135
AUS,Gas,1,57,1997,4780.369743045294
AUS,Gas,1,57,2002,4868.310282700639
AUS,Gas,1,57,2009,8085.918533758387
AUS,Gas,1,58,1995,1220.0975403697066
AUS,Gas,1,58,1997,5183.631156159037
AUS,Gas,1,58,2002,5589.200444490303
AUS,Gas,1,58,2009,8085.918533758387
AUS,Gas,1,59,1987,316.65385945833964
AUS,Gas,1,59,1997,6993.1869689225005
AUS,Gas,1,59,2002,7079.682094306025
AUS,Gas,1,59,2009,8085.918533758387
AUS,Gas,1,60,1997,7864.992113921345
AUS,Gas,1,60,2002,6162.335455714216
AUS,Gas,1,60,2009,8085.918533758387
AUS,Gas,1,61,1997,8085.918533758387
AUS,Gas,1,61,2002,5293.057499786959
AUS,Gas,1,61,2009,8085.918533758387
AUS,Gas,1,62,1995,180.30331997691246
AUS,Gas,1,62,1997,8085.918533758387
AUS,Gas,1,62,2002,2908.751848766913
AUS,Gas,1,62,2009,8085.918533758387
AUS,Gas,1,63,1987,434.864566610413
AUS,Gas,1,63,1997,8085.918533758387
AUS,Gas,1,63,2002,3117.4170273886134
AUS,Gas,1,63,2009,8085.918533758387
AUS,Gas,1,64,1987,2220.61897975961
AUS,Gas,1,64,1997,8085.918533758387
AUS,Gas,1,64,2002,6594.1990722486935
AUS,Gas,1,64,2009,8085.918533758387
AUS,Gas,1,65,1987,4822.417197102646
AUS,Gas,1,65,1995,1418.0049472884457
AUS,Gas,1,65,1997,8085.918533758387
AUS,Gas,1,65,2002,7795.707003207161
AUS,Gas,1,65,2009,8085.918533758387
AUS,Gas,1,66,1987,4988.742233079447
AUS,Gas,1,66,1995,3944.7495297695887
AUS,Gas,1,66,1997,8085.918533758387
AUS,Gas,1,66,2002,8085.918533758387
AUS,Gas,1,66,2009,8085.918533758387
AUS,Gas,1,67,1987,4291.87301532649
AUS,Gas,1,67,1995,3760.5402222330617
AUS,Gas,1,67,1997,8085.918533758387
AUS,Gas,1,67,2002,8085.918533758387
AUS,Gas,1,67,2009,8085.918533758387
AUS,Gas,1,68,1987,4419.475559298056
AUS,Gas,1,68,1995,613.3224280678733
AUS,Gas,1,68,1997,8085.918533758387
AUS,Gas,1,68,2002,8085.918533758387
AUS,Gas,1,68,2009,8085.918533758387
AUS,Gas,1,69,1997,3688.558869168847
AUS,Gas,1,69,2002,6664.3227390288675
AUS,Gas,1,69,2009,2021.479633439597
AUS,Gas,1,70,1997,1065.1111466889042
AUS,Gas,1,70,2002,599.8838387100777
AUS,Gas,1,71,2002,264.69909763029136
AUS,Gas,1,78,2002,4834.984433762385
AUS,Gas,1,79,2002,8085.918533758387
AUS,Gas,1,79,2009,2704.6537298509247
AUS,Gas,1,80,1995,356.0389752084593
