method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct,type,extreme
cross_scenario,k_medoids,675182737,11,6.55669e7,3.7824494,CosineDist,closemixed,380890.1344,279,insample,none
cross_scenario,k_medoids,722170199,11,6.32797e7,3.3245803,CosineDist,closemixed,322174.781962,235,insample,none
cross_scenario,k_medoids,1020330993,13,6.26886e7,4.5279618,CosineDist,closemixed,310353.702663,234,insample,none
cross_scenario,k_medoids,1241334511,13,6.3978e7,4.9937277,CosineDist,closemixed,336507.971779,238,insample,none
cross_scenario,k_medoids,1561739573,13,5.75471e7,4.9018305,CosineDist,closemixed,164699.305656,153,insample,none
cross_scenario,k_medoids,2082789969,13,7.66154e7,5.2048854,CosineDist,closemixed,673855.452477,451,insample,none
cross_scenario,k_medoids,2422820678,13,6.58584e7,4.8254893,CosineDist,closemixed,393376.483602,273,insample,none
cross_scenario,k_medoids,373102896,13,7.6022e7,6.1158904,CosineDist,closemixed,660158.021584,490,insample,none
cross_scenario,k_medoids,3777256655,13,6.979e7,5.5614842,CosineDist,closemixed,494842.638583,437,insample,none
cross_scenario,k_medoids,4101453586,13,6.86381e7,4.3982551,CosineDist,closemixed,452668.558452,278,insample,none
cross_scenario,k_medoids,419645993,13,7.41329e7,5.0774892,CosineDist,closemixed,603286.785339,383,insample,none
cross_scenario,k_medoids,772616242,13,6.23434e7,4.3579763,CosineDist,closemixed,301228.100188,236,insample,none
cross_scenario,k_medoids,1536731824,15,7.90615e7,6.5931987,CosineDist,closemixed,725358.894421,468,insample,none
cross_scenario,k_medoids,1944031661,15,9.2949e7,5.9431879,CosineDist,closemixed,1.079246686806e6,636,insample,none
cross_scenario,k_medoids,195370354,15,6.75345e7,5.9354982,CosineDist,closemixed,435079.300852,329,insample,none
cross_scenario,k_medoids,2392820273,15,6.7696e7,8.4432855,CosineDist,closemixed,443368.446423,339,insample,none
cross_scenario,k_medoids,2931326369,15,9.42941e7,6.998489,CosineDist,closemixed,1.123433482124e6,663,insample,none
cross_scenario,k_medoids,3012361418,15,6.4366e7,6.8443298,CosineDist,closemixed,356165.63329,264,insample,none
cross_scenario,k_medoids,3763622817,15,7.78285e7,6.9216513,CosineDist,closemixed,702850.446019,472,insample,none
cross_scenario,k_medoids,3796973136,15,5.49232e7,5.0241446,CosineDist,closemixed,92235.020444,89,insample,none
cross_scenario,k_medoids,3815196410,15,5.9312e7,6.1708226,CosineDist,closemixed,213612.371909,134,insample,none
cross_scenario,k_medoids,604489562,15,5.6643e7,5.0826201,CosineDist,closemixed,138976.775146,153,insample,none
cross_scenario,k_medoids,1587347134,17,6.94845e7,9.7727648,CosineDist,closemixed,483646.254542,349,insample,none
cross_scenario,k_medoids,186564236,17,7.08579e7,7.5161498,CosineDist,closemixed,501782.104441,332,insample,none
cross_scenario,k_medoids,2166881926,17,5.57134e7,6.2864672,CosineDist,closemixed,118053.449752,98,insample,none
cross_scenario,k_medoids,2186186592,17,8.34561e7,8.1333607,CosineDist,closemixed,837787.373548,584,insample,none
cross_scenario,k_medoids,2238747886,17,5.87225e7,6.6716732,CosineDist,closemixed,200759.231779,160,insample,none
cross_scenario,k_medoids,224585247,17,5.87216e7,5.9142491,CosineDist,closemixed,198775.958591,135,insample,none
cross_scenario,k_medoids,2339120676,17,7.0411e7,7.6759255,CosineDist,closemixed,498917.35322,301,insample,none
cross_scenario,k_medoids,3093014142,17,5.36055e7,6.295486,CosineDist,closemixed,47236.12155,51,insample,none
cross_scenario,k_medoids,3258302586,17,5.85239e7,6.5690179,CosineDist,closemixed,198579.336283,169,insample,none
cross_scenario,k_medoids,3629043986,17,6.03596e7,5.8628531,CosineDist,closemixed,242570.08021,176,insample,none
cross_scenario,k_medoids,1088367163,19,5.77408e7,6.793935,CosineDist,closemixed,166056.399856,122,insample,none
cross_scenario,k_medoids,1245540782,19,8.12462e7,11.5840352,CosineDist,closemixed,791498.672183,547,insample,none
cross_scenario,k_medoids,2410109332,19,5.82516e7,9.0316083,CosineDist,closemixed,189404.683806,133,insample,none
cross_scenario,k_medoids,2455416769,19,5.6627e7,8.6544664,CosineDist,closemixed,142918.7813,102,insample,none
cross_scenario,k_medoids,2591120440,19,5.85781e7,8.8162631,CosineDist,closemixed,190423.353371,189,insample,none
cross_scenario,k_medoids,2650271871,19,5.45771e7,7.1020527,CosineDist,closemixed,75467.138515,89,insample,none
cross_scenario,k_medoids,2789252227,19,7.00686e7,9.5062195,CosineDist,closemixed,499730.646082,376,insample,none
cross_scenario,k_medoids,3130995382,19,5.82662e7,8.8149225,CosineDist,closemixed,188280.057146,138,insample,none
cross_scenario,k_medoids,3357853995,19,6.44724e7,8.2671791,CosineDist,closemixed,351005.515169,234,insample,none
cross_scenario,k_medoids,824849990,19,6.25901e7,9.0640227,CosineDist,closemixed,309410.767388,235,insample,none
cross_scenario,k_medoids,1244389436,21,5.66677e7,8.980245,CosineDist,closemixed,142793.958256,138,insample,none
cross_scenario,k_medoids,1393653782,21,5.58141e7,8.4257306,CosineDist,closemixed,105175.287806,115,insample,none
cross_scenario,k_medoids,1761682951,21,6.13926e7,9.9147281,CosineDist,closemixed,265562.07014,186,insample,none
cross_scenario,k_medoids,196162340,21,5.79633e7,9.8739816,CosineDist,closemixed,183145.453414,162,insample,none
cross_scenario,k_medoids,1984034111,21,6.03448e7,9.9167156,CosineDist,closemixed,245583.644923,193,insample,none
cross_scenario,k_medoids,2569047889,21,7.59561e7,14.0092859,CosineDist,closemixed,642317.71352,412,insample,none
cross_scenario,k_medoids,3286463093,21,6.08606e7,10.5125466,CosineDist,closemixed,254172.559499,229,insample,none
cross_scenario,k_medoids,4196464565,21,5.99831e7,9.086251,CosineDist,closemixed,228827.293118,160,insample,none
cross_scenario,k_medoids,744301781,21,5.99308e7,9.2243677,CosineDist,closemixed,221869.724834,141,insample,none
cross_scenario,k_medoids,760014603,21,7.09932e7,11.1664921,CosineDist,closemixed,514877.077526,344,insample,none
cross_scenario,k_medoids,2193967569,23,6.01223e7,11.3317763,CosineDist,closemixed,221147.162307,150,insample,none
cross_scenario,k_medoids,2546464051,23,7.16246e7,12.3260917,CosineDist,closemixed,542813.868279,393,insample,none
cross_scenario,k_medoids,2938742229,23,5.91495e7,10.7755635,CosineDist,closemixed,208921.918649,116,insample,none
cross_scenario,k_medoids,313447314,23,5.43708e7,9.3303841,CosineDist,closemixed,72052.317269,75,insample,none
cross_scenario,k_medoids,3164855826,23,5.40487e7,10.7333362,CosineDist,closemixed,67835.613961,68,insample,none
cross_scenario,k_medoids,3173192974,23,6.06605e7,12.3736365,CosineDist,closemixed,255243.832707,204,insample,none
cross_scenario,k_medoids,3527549645,23,5.79695e7,11.8056054,CosineDist,closemixed,172113.919891,144,insample,none
cross_scenario,k_medoids,3913193451,23,7.11389e7,11.6350475,CosineDist,closemixed,514424.769872,329,insample,none
cross_scenario,k_medoids,714332685,23,5.59378e7,9.9994567,CosineDist,closemixed,123116.385302,85,insample,none
cross_scenario,k_medoids,890890131,23,5.82509e7,11.229999,CosineDist,closemixed,176285.137396,126,insample,none
cross_scenario,k_medoids,1134130444,25,5.5686e7,13.3887244,CosineDist,closemixed,110751.576647,86,insample,none
cross_scenario,k_medoids,2658990538,25,6.05986e7,14.4157568,CosineDist,closemixed,242416.89692,182,insample,none
cross_scenario,k_medoids,2726541456,25,5.80069e7,12.0529313,CosineDist,closemixed,177117.224925,129,insample,none
cross_scenario,k_medoids,2894918851,25,6.299e7,13.2485152,CosineDist,closemixed,312597.082922,223,insample,none
cross_scenario,k_medoids,3351175237,25,6.37059e7,12.9974382,CosineDist,closemixed,334000.812314,234,insample,none
cross_scenario,k_medoids,343301208,25,5.7557e7,16.8825312,CosineDist,closemixed,167408.561292,147,insample,none
cross_scenario,k_medoids,4135971217,25,6.02996e7,14.2031265,CosineDist,closemixed,247426.03733,199,insample,none
cross_scenario,k_medoids,4145110716,25,5.79274e7,12.7378561,CosineDist,closemixed,183703.536615,149,insample,none
cross_scenario,k_medoids,448376330,25,6.26477e7,12.3914462,CosineDist,closemixed,299204.452438,192,insample,none
cross_scenario,k_medoids,47449323,25,5.72044e7,12.7006095,CosineDist,closemixed,144913.311416,115,insample,none
cross_scenario,k_medoids,1161276258,27,7.61119e7,18.4074643,CosineDist,closemixed,638708.782729,441,insample,none
cross_scenario,k_medoids,1233541653,27,7.71318e7,15.1715274,CosineDist,closemixed,668028.792111,500,insample,none
cross_scenario,k_medoids,1267936167,27,5.98851e7,17.8566182,CosineDist,closemixed,232587.678982,187,insample,none
cross_scenario,k_medoids,1653248667,27,5.69458e7,16.7638437,CosineDist,closemixed,149017.324854,122,insample,none
cross_scenario,k_medoids,2437521778,27,5.46492e7,11.4182301,CosineDist,closemixed,85401.341606,82,insample,none
cross_scenario,k_medoids,2524306086,27,6.1657e7,13.8790778,CosineDist,closemixed,266352.7876,203,insample,none
cross_scenario,k_medoids,2606414571,27,5.43067e7,13.586294,CosineDist,closemixed,63676.478845,66,insample,none
cross_scenario,k_medoids,2821296471,27,7.3344e7,15.7775863,CosineDist,closemixed,578870.974904,303,insample,none
cross_scenario,k_medoids,3155655383,27,5.34882e7,13.5900534,CosineDist,closemixed,44464.994174,48,insample,none
cross_scenario,k_medoids,463779685,27,5.3653e7,14.17987,CosineDist,closemixed,40362.288931,47,insample,none
cross_scenario,k_medoids,1113698075,29,5.61832e7,14.6751655,CosineDist,closemixed,128218.082763,141,insample,none
cross_scenario,k_medoids,1125327650,29,5.58891e7,15.0555655,CosineDist,closemixed,106642.510571,73,insample,none
cross_scenario,k_medoids,1398119942,29,6.03712e7,14.4615689,CosineDist,closemixed,242041.948081,193,insample,none
cross_scenario,k_medoids,1669407957,29,5.48435e7,15.0214044,CosineDist,closemixed,91994.395205,71,insample,none
cross_scenario,k_medoids,1792506398,29,5.55422e7,17.8172897,CosineDist,closemixed,102683.060833,82,insample,none
cross_scenario,k_medoids,2439649745,29,5.54841e7,13.4998352,CosineDist,closemixed,110460.694014,85,insample,none
cross_scenario,k_medoids,2730667678,29,5.54406e7,15.8099448,CosineDist,closemixed,100895.747442,69,insample,none
cross_scenario,k_medoids,2843080965,29,5.71449e7,23.3631453,CosineDist,closemixed,155619.511849,115,insample,none
cross_scenario,k_medoids,3434031776,29,5.3995e7,13.4300521,CosineDist,closemixed,65393.935071,62,insample,none
cross_scenario,k_medoids,950202798,29,5.90821e7,15.9036462,CosineDist,closemixed,201056.255966,170,insample,none
cross_scenario,k_medoids,1042382051,3,9.63811e7,0.6255948,CosineDist,closemixed,1.182984530568e6,722,insample,none
cross_scenario,k_medoids,1617230705,3,9.60638e7,0.6352707,CosineDist,closemixed,1.174823728149e6,695,insample,none
cross_scenario,k_medoids,1690918982,3,3.05727e8,0.6867013,CosineDist,closemixed,6.516632677155e6,2475,insample,none
cross_scenario,k_medoids,2011904635,3,9.63477e7,0.5956258,CosineDist,closemixed,1.182150489717e6,714,insample,none
cross_scenario,k_medoids,208019063,3,9.61198e7,0.6170625,CosineDist,closemixed,1.176223838006e6,702,insample,none
cross_scenario,k_medoids,2175589206,3,9.53297e7,0.6903441,CosineDist,closemixed,1.156051522508e6,649,insample,none
cross_scenario,k_medoids,2331872192,3,9.63811e7,0.5954944,CosineDist,closemixed,1.182984530568e6,722,insample,none
cross_scenario,k_medoids,2859914000,3,9.64978e7,0.5901553,CosineDist,closemixed,1.185903611964e6,672,insample,none
cross_scenario,k_medoids,3409952330,3,9.64978e7,0.6413484,CosineDist,closemixed,1.185903611964e6,672,insample,none
cross_scenario,k_medoids,488813374,3,9.64978e7,0.605158,CosineDist,closemixed,1.185903611964e6,672,insample,none
cross_scenario,k_medoids,1349996306,31,5.67669e7,21.4344163,CosineDist,closemixed,144643.521532,101,insample,none
cross_scenario,k_medoids,1462714024,31,5.35667e7,14.2886789,CosineDist,closemixed,52448.765417,50,insample,none
cross_scenario,k_medoids,1579127763,31,5.39683e7,13.0224357,CosineDist,closemixed,55296.199508,73,insample,none
cross_scenario,k_medoids,1648351254,31,6.31725e7,20.6648935,CosineDist,closemixed,301478.504176,195,insample,none
cross_scenario,k_medoids,2030289235,31,5.74752e7,17.1943131,CosineDist,closemixed,165256.156772,135,insample,none
cross_scenario,k_medoids,2462588561,31,5.45109e7,19.1707191,CosineDist,closemixed,74138.884163,56,insample,none
cross_scenario,k_medoids,2929172095,31,5.31448e7,15.5422146,CosineDist,closemixed,26651.27858,30,insample,none
cross_scenario,k_medoids,2944528308,31,6.00037e7,14.4618166,CosineDist,closemixed,234320.810663,177,insample,none
cross_scenario,k_medoids,295145311,31,5.43933e7,17.0111229,CosineDist,closemixed,78239.133469,64,insample,none
cross_scenario,k_medoids,3899371692,31,6.44071e7,18.6579813,CosineDist,closemixed,343419.561746,227,insample,none
cross_scenario,k_medoids,1038419084,33,5.32713e7,14.1367745,CosineDist,closemixed,41546.445104,43,insample,none
cross_scenario,k_medoids,1109759726,33,5.42014e7,16.472516,CosineDist,closemixed,69462.98072,65,insample,none
cross_scenario,k_medoids,1963882461,33,5.42741e7,17.2269236,CosineDist,closemixed,76574.65521,57,insample,none
cross_scenario,k_medoids,1989163906,33,5.5388e7,19.8241871,CosineDist,closemixed,108089.985487,75,insample,none
cross_scenario,k_medoids,2479233904,33,5.53776e7,22.565543,CosineDist,closemixed,90918.305835,81,insample,none
cross_scenario,k_medoids,2497612078,33,5.54319e7,19.0083153,CosineDist,closemixed,93080.843155,74,insample,none
cross_scenario,k_medoids,3214090957,33,5.32675e7,16.3212405,CosineDist,closemixed,38799.235909,45,insample,none
cross_scenario,k_medoids,3465092140,33,5.34405e7,14.7831823,CosineDist,closemixed,46949.958353,49,insample,none
cross_scenario,k_medoids,4061834237,33,5.30208e7,16.9795372,CosineDist,closemixed,23574.379399,30,insample,none
cross_scenario,k_medoids,52313467,33,5.66885e7,20.4048334,CosineDist,closemixed,147693.508048,105,insample,none
cross_scenario,k_medoids,1208640119,35,5.45968e7,18.4895742,CosineDist,closemixed,86702.97274,64,insample,none
cross_scenario,k_medoids,1428058240,35,6.1627e7,18.3461554,CosineDist,closemixed,265438.550141,193,insample,none
cross_scenario,k_medoids,15941194,35,5.62026e7,27.8792176,CosineDist,closemixed,129434.951437,100,insample,none
cross_scenario,k_medoids,2213813141,35,5.35979e7,19.6959494,CosineDist,closemixed,46056.525794,55,insample,none
cross_scenario,k_medoids,2291375163,35,5.31181e7,15.8377081,CosineDist,closemixed,35574.077303,42,insample,none
cross_scenario,k_medoids,236500538,35,5.34807e7,16.8405962,CosineDist,closemixed,47281.511694,44,insample,none
cross_scenario,k_medoids,252145784,35,5.75115e7,19.8945176,CosineDist,closemixed,167521.206957,131,insample,none
cross_scenario,k_medoids,2544196106,35,5.4946e7,22.633537,CosineDist,closemixed,82776.900837,60,insample,none
cross_scenario,k_medoids,2745802022,35,5.52621e7,17.0713168,CosineDist,closemixed,99860.979557,73,insample,none
cross_scenario,k_medoids,3596893902,35,5.73261e7,19.8218024,CosineDist,closemixed,156763.146772,115,insample,none
cross_scenario,k_medoids,1380354363,37,5.44788e7,20.2894389,CosineDist,closemixed,78664.02864,59,insample,none
cross_scenario,k_medoids,3048518942,37,7.0479e7,25.2716054,CosineDist,closemixed,495863.243203,319,insample,none
cross_scenario,k_medoids,3182806193,37,5.49081e7,21.4458973,CosineDist,closemixed,86878.89718,74,insample,none
cross_scenario,k_medoids,3244629827,37,5.48434e7,21.8790346,CosineDist,closemixed,95911.471204,82,insample,none
cross_scenario,k_medoids,3452769998,37,5.6593e7,24.2303227,CosineDist,closemixed,137267.102593,102,insample,none
cross_scenario,k_medoids,4262333788,37,5.50304e7,18.807547,CosineDist,closemixed,98653.386457,71,insample,none
cross_scenario,k_medoids,45994245,37,5.38807e7,17.2643584,CosineDist,closemixed,61729.045613,59,insample,none
cross_scenario,k_medoids,67569244,37,5.66887e7,20.8224774,CosineDist,closemixed,138461.425985,103,insample,none
cross_scenario,k_medoids,814300562,37,5.43848e7,25.6445127,CosineDist,closemixed,76822.698975,55,insample,none
cross_scenario,k_medoids,870981686,37,5.7583e7,22.4765847,CosineDist,closemixed,167458.540305,128,insample,none
cross_scenario,k_medoids,1129760376,39,5.44727e7,19.6288875,CosineDist,closemixed,73249.85005,57,insample,none
cross_scenario,k_medoids,148104383,39,5.50343e7,19.3900279,CosineDist,closemixed,100041.803585,80,insample,none
cross_scenario,k_medoids,1655289285,39,5.53045e7,21.0969206,CosineDist,closemixed,105107.802513,75,insample,none
cross_scenario,k_medoids,1845695973,39,5.4726e7,30.2592375,CosineDist,closemixed,83586.190308,66,insample,none
cross_scenario,k_medoids,2121257682,39,5.73451e7,32.0553456,CosineDist,closemixed,151025.521816,124,insample,none
cross_scenario,k_medoids,2943233938,39,5.33074e7,19.6356646,CosineDist,closemixed,37595.099443,41,insample,none
cross_scenario,k_medoids,3030918353,39,5.37746e7,18.2773217,CosineDist,closemixed,60245.860606,63,insample,none
cross_scenario,k_medoids,3096268031,39,5.47632e7,20.5917616,CosineDist,closemixed,88182.035895,71,insample,none
cross_scenario,k_medoids,3338611973,39,5.51828e7,21.0997554,CosineDist,closemixed,95141.71612,64,insample,none
cross_scenario,k_medoids,662283236,39,5.69066e7,30.8490926,CosineDist,closemixed,144903.267786,110,insample,none
