method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,373102896,13,9.53201e7,5.112621,CosineDist,centered,1.384532288639e6,345
cross_scenario,k_medoids,3777256655,13,4.42088e7,5.0917029,CosineDist,centered,7720.397317999999,7
cross_scenario,k_medoids,4101453586,13,1.04713e8,5.5140292,CosineDist,centered,1.6143277863879998e6,387
cross_scenario,k_medoids,419645993,13,9.79766e7,5.7554979,CosineDist,centered,1.4403184681660002e6,340
cross_scenario,k_medoids,772616242,13,4.42442e7,4.7567716,CosineDist,centered,8977.854311,7
cross_scenario,k_medoids,1536731824,15,4.42547e7,5.7260406,CosineDist,centered,7735.604982,7
cross_scenario,k_medoids,1944031661,15,9.14999e7,5.8439809,CosineDist,centered,1.2642563681949999e6,275
cross_scenario,k_medoids,195370354,15,4.83576e7,6.4767016,CosineDist,centered,129742.168298,79
cross_scenario,k_medoids,2392820273,15,1.09406e8,5.5445237,CosineDist,centered,1.7420832632260001e6,554
cross_scenario,k_medoids,2931326369,15,8.66665e7,6.0323,CosineDist,centered,1.14451143716e6,252
cross_scenario,k_medoids,3012361418,15,4.42023e7,5.599889,CosineDist,centered,8757.84044,7
cross_scenario,k_medoids,3763622817,15,9.25341e7,6.4189082,CosineDist,centered,1.296303148931e6,288
cross_scenario,k_medoids,3796973136,15,1.0058e8,6.9209418,CosineDist,centered,1.5095327881250002e6,467
cross_scenario,k_medoids,3815196410,15,4.42095e7,6.6714496,CosineDist,centered,7305.779489,7
cross_scenario,k_medoids,604489562,15,4.42687e7,6.4436617,CosineDist,centered,12748.915705,7
cross_scenario,k_medoids,1587347134,17,1.00215e8,9.5833824,CosineDist,centered,1.495269949239e6,315
cross_scenario,k_medoids,186564236,17,4.66783e7,7.2772428,CosineDist,centered,88254.008954,52
cross_scenario,k_medoids,2166881926,17,4.4219e7,6.9221234,CosineDist,centered,12443.062272,7
cross_scenario,k_medoids,2186186592,17,4.41892e7,8.1914987,CosineDist,centered,7010.410408,7
cross_scenario,k_medoids,2238747886,17,1.08976e8,9.7112686,CosineDist,centered,1.7370695205139997e6,512
cross_scenario,k_medoids,224585247,17,9.53388e7,7.0336357,CosineDist,centered,1.3852903842310002e6,318
cross_scenario,k_medoids,2339120676,17,4.42604e7,8.1953326,CosineDist,centered,7608.116122,7
cross_scenario,k_medoids,3093014142,17,4.42321e7,7.6449031,CosineDist,centered,8632.332187,7
cross_scenario,k_medoids,3258302586,17,1.19782e8,5.8520529,CosineDist,centered,2.013600168741e6,650
cross_scenario,k_medoids,3629043986,17,4.42153e7,6.9206605,CosineDist,centered,6462.032786,7
cross_scenario,k_medoids,1088367163,19,4.62595e7,7.9258338,CosineDist,centered,76962.61627799997,41
cross_scenario,k_medoids,1245540782,19,4.42684e7,7.3434142,CosineDist,centered,8392.848686,7
cross_scenario,k_medoids,2410109332,19,4.4196e7,9.0052062,CosineDist,centered,10234.344500000001,7
cross_scenario,k_medoids,2455416769,19,4.42257e7,8.4701114,CosineDist,centered,10369.661794,7
cross_scenario,k_medoids,2591120440,19,9.56229e7,9.5572214,CosineDist,centered,1.37787083938e6,307
cross_scenario,k_medoids,2650271871,19,4.42059e7,9.9873307,CosineDist,centered,9029.308162000001,7
cross_scenario,k_medoids,2789252227,19,4.43026e7,9.2616157,CosineDist,centered,12473.326356999998,7
cross_scenario,k_medoids,3130995382,19,9.10366e7,7.5452674,CosineDist,centered,1.270569475944e6,249
cross_scenario,k_medoids,3357853995,19,4.42663e7,8.4070032,CosineDist,centered,13469.918862,7
cross_scenario,k_medoids,824849990,19,8.88981e7,8.8077241,CosineDist,centered,1.2020531163040001e6,251
cross_scenario,k_medoids,1244389436,21,4.41844e7,9.1589242,CosineDist,centered,8412.90998,7
cross_scenario,k_medoids,1393653782,21,4.42127e7,9.6547213,CosineDist,centered,7179.173644,7
cross_scenario,k_medoids,1761682951,21,4.42261e7,9.8838652,CosineDist,centered,7826.741859,7
cross_scenario,k_medoids,196162340,21,4.41974e7,9.6343371,CosineDist,centered,9138.606373,7
cross_scenario,k_medoids,1984034111,21,4.42108e7,10.4255417,CosineDist,centered,9872.08337,7
cross_scenario,k_medoids,2569047889,21,4.41797e7,9.4053905,CosineDist,centered,9507.431194,7
cross_scenario,k_medoids,3286463093,21,9.41669e7,12.0775756,CosineDist,centered,1.344898627175e6,275
cross_scenario,k_medoids,4196464565,21,4.41937e7,9.1315773,CosineDist,centered,8809.728667,7
cross_scenario,k_medoids,744301781,21,1.04061e8,8.1855014,CosineDist,centered,1.6096513746089996e6,413
cross_scenario,k_medoids,760014603,21,4.41924e7,10.3395251,CosineDist,centered,9065.491427,7
