method,clustering,seed,num_periods,cost,time,distance,data,loss,loss_ct
cross_scenario,k_medoids,373102896,13,1.02448e8,5.4817319,CosineDist,centered,1.558465892889e6,416
cross_scenario,k_medoids,3777256655,13,4.45456e7,6.3183283,CosineDist,centered,7720.397317999999,7
cross_scenario,k_medoids,4101453586,13,1.1257e8,5.1983628,CosineDist,centered,1.807565112834e6,458
cross_scenario,k_medoids,419645993,13,1.05466e8,5.9218819,CosineDist,centered,1.6236490553859996e6,414
cross_scenario,k_medoids,772616242,13,4.45649e7,5.9817214,CosineDist,centered,8977.854311,7
cross_scenario,k_medoids,1536731824,15,4.45643e7,5.6718326,CosineDist,centered,7735.604982,7
cross_scenario,k_medoids,1944031661,15,9.39139e7,5.6275602,CosineDist,centered,1.318546373847e6,312
cross_scenario,k_medoids,195370354,15,4.95646e7,5.5102473,CosineDist,centered,150399.489267,106
cross_scenario,k_medoids,2392820273,15,1.15292e8,5.479491,CosineDist,centered,1.8853749259940004e6,609
cross_scenario,k_medoids,2931326369,15,8.86721e7,5.544046,CosineDist,centered,1.188490465493e6,270
cross_scenario,k_medoids,3012361418,15,4.45322e7,5.9229376,CosineDist,centered,8757.84044,7
cross_scenario,k_medoids,3763622817,15,9.74199e7,5.8492074,CosineDist,centered,1.4139158123030001e6,349
cross_scenario,k_medoids,3796973136,15,1.08474e8,5.5286581,CosineDist,centered,1.703010020955e6,554
cross_scenario,k_medoids,3815196410,15,4.45645e7,5.6723107,CosineDist,centered,7305.779489,7
cross_scenario,k_medoids,604489562,15,4.4625e7,6.0657202,CosineDist,centered,12748.915705,7
cross_scenario,k_medoids,1587347134,17,1.07695e8,6.1029644,CosineDist,centered,1.6796234184179998e6,429
cross_scenario,k_medoids,186564236,17,4.70917e7,5.6300769,CosineDist,centered,89693.68604299998,57
cross_scenario,k_medoids,2166881926,17,4.45681e7,5.90753,CosineDist,centered,12443.062272,7
cross_scenario,k_medoids,2186186592,17,4.45228e7,5.8652091,CosineDist,centered,7010.410408,7
cross_scenario,k_medoids,2238747886,17,1.16357e8,5.604349,CosineDist,centered,1.918445274191e6,579
cross_scenario,k_medoids,224585247,17,1.01754e8,5.7368793,CosineDist,centered,1.5406787709779993e6,398
cross_scenario,k_medoids,2339120676,17,4.45864e7,5.6147603,CosineDist,centered,7608.116122,7
