location,technology,rep_period,time_step,scenario,production
AUS,WindOn,5,21,cross,14749.929015000007
AUS,WindOn,5,22,cross,14651.503685000007
AUS,WindOn,5,23,cross,14038.506755000006
AUS,WindOn,5,24,cross,14523.461330000007
AUS,WindOn,6,1,cross,13868.072145000007
AUS,WindOn,6,2,cross,13961.074575000006
AUS,WindOn,6,3,cross,13968.313445000003
AUS,WindOn,6,4,cross,14105.967570000006
AUS,WindOn,6,5,cross,14362.031845000005
AUS,WindOn,6,6,cross,14465.409460000004
AUS,WindOn,6,7,cross,14471.145900000005
AUS,WindOn,6,8,cross,14281.574675000005
AUS,WindOn,6,9,cross,14098.988865000008
AUS,WindOn,6,10,cross,13782.310415000005
AUS,WindOn,6,11,cross,12122.771560000005
AUS,WindOn,6,12,cross,12351.381565000005
AUS,WindOn,6,13,cross,12587.393920000004
AUS,WindOn,6,14,cross,12542.402150000005
AUS,WindOn,6,15,cross,12924.216400000005
AUS,WindOn,6,16,cross,13661.755505000006
AUS,WindOn,6,17,cross,14443.386020000007
AUS,WindOn,6,18,cross,15192.595645000005
AUS,WindOn,6,19,cross,15998.132975000008
AUS,WindOn,6,20,cross,16661.958765000007
AUS,WindOn,6,21,cross,17214.70081000001
AUS,WindOn,6,22,cross,17666.816249140007
AUS,WindOn,6,23,cross,17312.747025000008
AUS,WindOn,6,24,cross,17175.36901533
AUS,WindOn,7,1,cross,5202.338640000002
AUS,WindOn,7,2,cross,5442.441655000002
AUS,WindOn,7,3,cross,5653.893580000002
AUS,WindOn,7,4,cross,5904.513605000002
AUS,WindOn,7,5,cross,6036.099145000003
AUS,WindOn,7,6,cross,6355.359725000002
AUS,WindOn,7,7,cross,6745.631015000004
AUS,WindOn,7,8,cross,7282.472800000003
AUS,WindOn,7,9,cross,7719.226395000003
AUS,WindOn,7,10,cross,7725.046405000004
AUS,WindOn,7,11,cross,6660.903540000003
AUS,WindOn,7,12,cross,6594.0390000000025
AUS,WindOn,7,13,cross,6574.6602150000035
AUS,WindOn,7,14,cross,6404.181685000002
AUS,WindOn,7,15,cross,6389.1073650000035
AUS,WindOn,7,16,cross,6825.546505000002
AUS,WindOn,7,17,cross,7277.033430000003
AUS,WindOn,7,18,cross,7191.154885000003
AUS,WindOn,7,19,cross,6823.771405000003
AUS,WindOn,7,20,cross,6327.207615000002
AUS,WindOn,7,21,cross,5929.537635000002
AUS,WindOn,7,22,cross,5644.138155000002
AUS,WindOn,7,23,cross,4968.5723050000015
AUS,WindOn,7,24,cross,4941.486170000002
AUS,WindOn,8,1,cross,3859.739010000002
AUS,WindOn,8,2,cross,3695.156435000002
AUS,WindOn,8,3,cross,3591.8242650000016
AUS,WindOn,8,4,cross,3506.832965000001
AUS,WindOn,8,5,cross,3455.1318050000013
AUS,WindOn,8,6,cross,3478.0952550000015
AUS,WindOn,8,7,cross,3586.0991100000015
AUS,WindOn,8,8,cross,3650.7020750000015
AUS,WindOn,8,9,cross,3549.2316250000017
AUS,WindOn,8,10,cross,3170.1602400000015
AUS,WindOn,8,11,cross,2571.7648800000015
AUS,WindOn,8,12,cross,2395.0649600000006
AUS,WindOn,8,13,cross,2324.101830000001
AUS,WindOn,8,14,cross,2256.9280200000007
AUS,WindOn,8,15,cross,2220.044675000001
AUS,WindOn,8,16,cross,2445.548865000001
AUS,WindOn,8,17,cross,2813.5048300000008
AUS,WindOn,8,18,cross,3085.7097050000016
AUS,WindOn,8,19,cross,3250.629305000001
AUS,WindOn,8,20,cross,3338.7236750000015
AUS,WindOn,8,21,cross,3275.7582550000016
AUS,WindOn,8,22,cross,3270.968840000002
AUS,WindOn,8,23,cross,3129.5726700000014
AUS,WindOn,8,24,cross,3273.2551200000016
AUS,WindOn,9,1,cross,15869.097540000006
AUS,WindOn,9,2,cross,15560.118510000008
AUS,WindOn,9,3,cross,15080.636855000008
AUS,WindOn,9,4,cross,14833.393485000004
AUS,WindOn,9,5,cross,14493.360880000006
AUS,WindOn,9,6,cross,14039.128650000004
AUS,WindOn,9,7,cross,13410.554760000006
AUS,WindOn,9,8,cross,12939.381915000004
