from,to,rep_period,time_step,scenario,flow
AUS,BLK,6,15,cross,-1746.0
AUS,BLK,6,16,cross,-1746.0
AUS,BLK,6,17,cross,1686.0
AUS,BLK,6,18,cross,1686.0
AUS,BLK,6,19,cross,1686.0
AUS,BLK,6,20,cross,1686.0
AUS,BLK,6,21,cross,1686.0
AUS,BLK,6,22,cross,1686.0
AUS,BLK,6,23,cross,1686.0
AUS,BLK,6,24,cross,1686.0
AUS,BLK,7,1,cross,-1746.0
AUS,BLK,7,2,cross,-1746.0
AUS,BLK,7,3,cross,-1746.0
AUS,BLK,7,4,cross,-1746.0
AUS,BLK,7,5,cross,-1746.0
AUS,BLK,7,6,cross,-1746.0
AUS,BLK,7,7,cross,-1746.0
AUS,BLK,7,8,cross,-1746.0
AUS,BLK,7,9,cross,-1746.0
AUS,BLK,7,10,cross,-1746.0
AUS,BLK,7,11,cross,-1746.0
AUS,BLK,7,12,cross,-1746.0
AUS,BLK,7,13,cross,-1746.0
AUS,BLK,7,14,cross,-1746.0
AUS,BLK,7,15,cross,-1746.0
AUS,BLK,7,16,cross,-1746.0
AUS,BLK,7,17,cross,-1746.0
AUS,BLK,7,18,cross,-1746.0
AUS,BLK,7,19,cross,-289.7129607500001
AUS,BLK,7,20,cross,-1746.0
AUS,BLK,7,21,cross,-1746.0
AUS,BLK,7,22,cross,-1746.0
AUS,BLK,7,23,cross,-1746.0
AUS,BLK,7,24,cross,-1746.0
AUS,BLK,8,1,cross,-1746.0
AUS,BLK,8,2,cross,-1746.0
AUS,BLK,8,3,cross,-1746.0
AUS,BLK,8,4,cross,-1746.0
AUS,BLK,8,5,cross,-1746.0
AUS,BLK,8,6,cross,-1746.0
AUS,BLK,8,7,cross,-1746.0
AUS,BLK,8,8,cross,-1746.0
AUS,BLK,8,9,cross,-1746.0
AUS,BLK,8,10,cross,-1746.0
AUS,BLK,8,11,cross,-1746.0
AUS,BLK,8,12,cross,-1746.0
AUS,BLK,8,13,cross,-1746.0
AUS,BLK,8,14,cross,-1746.0
AUS,BLK,8,15,cross,-1746.0
AUS,BLK,8,16,cross,-1746.0
AUS,BLK,8,17,cross,911.7680147599995
AUS,BLK,8,18,cross,-1746.0
AUS,BLK,8,19,cross,-1746.0
AUS,BLK,8,20,cross,-810.9500867199981
AUS,BLK,8,21,cross,-1746.0
AUS,BLK,8,22,cross,-1746.0
AUS,BLK,8,23,cross,-1746.0
AUS,BLK,8,24,cross,-1746.0
AUS,BLK,9,1,cross,1686.0
AUS,BLK,9,2,cross,1686.0
AUS,BLK,9,3,cross,1686.0
AUS,BLK,9,4,cross,973.1290706100044
AUS,BLK,9,5,cross,-742.4815232399951
AUS,BLK,9,6,cross,1686.0
AUS,BLK,9,7,cross,-1746.0
AUS,BLK,9,8,cross,-1746.0
AUS,BLK,9,9,cross,-1746.0
AUS,BLK,9,10,cross,-1746.0
AUS,BLK,9,11,cross,-1746.0
AUS,BLK,9,12,cross,-1746.0
AUS,BLK,9,13,cross,-1746.0
AUS,BLK,9,14,cross,-1746.0
AUS,BLK,9,15,cross,-1746.0
AUS,BLK,9,16,cross,-1746.0
AUS,BLK,9,17,cross,-1746.0
AUS,BLK,9,18,cross,-1746.0
AUS,BLK,9,19,cross,-1746.0
AUS,BLK,9,20,cross,-1746.0
AUS,BLK,9,21,cross,-1746.0
AUS,BLK,9,22,cross,1002.1945010700056
AUS,BLK,9,23,cross,1253.207070320006
AUS,BLK,9,24,cross,1686.0
AUS,BLK,10,1,cross,-1746.0
AUS,BLK,10,2,cross,-1746.0
AUS,BLK,10,3,cross,-1746.0
AUS,BLK,10,4,cross,-1746.0
AUS,BLK,10,5,cross,-1746.0
AUS,BLK,10,6,cross,-1746.0
AUS,BLK,10,7,cross,-1350.9710603899966
AUS,BLK,10,8,cross,-1746.0
AUS,BLK,10,9,cross,-1746.0
AUS,BLK,10,10,cross,-1746.0
AUS,BLK,10,11,cross,-1746.0
AUS,BLK,10,12,cross,-1746.0
AUS,BLK,10,13,cross,-1746.0
AUS,BLK,10,14,cross,-1746.0
AUS,BLK,10,15,cross,-1746.0
AUS,BLK,10,16,cross,-1277.738707719995
AUS,BLK,10,17,cross,586.3314624700006
AUS,BLK,10,18,cross,-1746.0
