location,rep_period,time_step,scenario,loss_of_load
NED,1,424,1900,3.5555711497153197
NED,1,425,1900,2021.955992618001
NOR,1,425,1900,77.80228162479762
NED,1,426,1900,3554.5446658438004
NED,1,427,1900,3663.324048324801
NED,1,428,1900,2987.9704360651003
NED,1,429,1900,2470.620945072402
NED,1,430,1900,2782.1322763201015
NED,1,431,1900,3047.1425772510006
NED,1,432,1900,2165.6188553612005
NED,1,433,1900,1043.3198789677012
NED,1,440,1900,1.5343537292018217
NED,1,441,1900,0.09393307221444047
NED,1,445,1900,980.6945001189433
NED,1,446,1900,2715.3518366919743
NED,1,447,1900,5257.793098222814
NED,1,448,1900,6532.2646729687185
NED,1,449,1900,7751.908602520301
NED,1,450,1900,10201.4539722459
NED,1,451,1900,9721.953966653999
NED,1,452,1900,9249.374579699599
NED,1,453,1900,6062.675601069403
NED,1,454,1900,4610.778683072701
NED,1,455,1900,2718.478670770602
NED,1,456,1900,1421.2044331632014
NED,1,457,1900,188.2064848498021
NED,1,464,1900,402.5611598591013
NED,1,465,1900,1665.3407569041
NED,1,466,1900,842.6689885847222
NED,1,467,1900,576.2801126696563
NOR,1,512,1900,1030.5349280453975
NOR,1,513,1900,1360.8090346251975
NOR,1,514,1900,2046.1732103263003
NOR,1,515,1900,2675.828500580199
NOR,1,516,1900,3885.426042598201
NOR,1,517,1900,4051.208271703801
NOR,1,518,1900,3362.8326536228997
NOR,1,519,1900,2036.8433330813023
NOR,1,520,1900,1264.608836723999
NOR,1,521,1900,630.6517524588999
