location,technology,capacity,units
AUS,WindOn,18700.0,187
BEL,Gas,5250.0,21
BEL,WindOn,9800.0,98
BLK,Nuclear,29000.0,29
BLK,WindOn,5600.0,56
BLT,Gas,1750.0,7
BLT,WindOn,5200.0,52
CZE,Nuclear,8000.0,8
DEN,Gas,6000.0,24
DEN,WindOn,8200.0,82
FIN,Gas,2250.0,9
FIN,Nuclear,3000.0,3
FIN,WindOn,12400.0,124
FRA,Nuclear,46000.0,46
FRA,WindOn,27900.0,279
GER,Gas,36250.0,145
GER,WindOff,2400.0,24
GER,WindOn,70500.0,705
IRE,Gas,1750.0,7
IRE,WindOff,100.0,1
IRE,WindOn,7200.0,72
ITA,Gas,17500.0,70
ITA,SunPV,20900.0,418
ITA,WindOff,7200.0,72
ITA,WindOn,29200.0,292
NED,SunPV,27650.0,553
NED,WindOff,32100.0,321
NED,WindOn,41700.0,417
NOR,SunPV,51750.0,1035
NOR,WindOn,255100.0,2551
POL,Gas,9750.0,39
POL,WindOn,24500.0,245
POR,Gas,1250.0,5
POR,SunPV,150.0,3
POR,WindOn,2100.0,21
SKO,Nuclear,3000.0,3
SPA,Nuclear,28000.0,28
SWE,Gas,2250.0,9
SWE,Nuclear,6000.0,6
SWE,WindOn,7500.0,75
SWI,Nuclear,14000.0,14
SWI,WindOn,2500.0,25
UKI,Gas,11000.0,44
UKI,Nuclear,24000.0,24
UKI,WindOn,37900.0,379
