location,time_step,demand,scenario,period,timestep
BEL,7185,6814.37064278242,1900,300,9
BEL,7186,6979.74013704784,1900,300,10
BEL,7187,7004.79612102745,1900,300,11
BEL,7188,7133.08275900304,1900,300,12
BEL,7189,6914.59457870086,1900,300,13
BEL,7190,6856.46469586817,1900,300,14
BEL,7191,6770.27211097831,1900,300,15
BEL,7192,6701.11759519459,1900,300,16
BEL,7193,6828.40199381101,1900,300,17
BEL,7194,7462.81950817469,1900,300,18
BEL,7195,7809.59432645247,1900,300,19
BEL,7196,7295.44553519091,1900,300,20
BEL,7197,6738.20045148441,1900,300,21
BEL,7198,6122.82548494523,1900,300,22
BEL,7199,6060.6866446758,1900,300,23
BEL,7200,5793.08873577359,1900,300,24
BLK,1,26667.1318828509,1900,1,1
BLK,2,25208.2670075423,1900,1,2
BLK,3,23311.2336830235,1900,1,3
BLK,4,21908.3369226456,1900,1,4
BLK,5,20980.0951556634,1900,1,5
BLK,6,20849.699156183,1900,1,6
BLK,7,20882.8499250446,1900,1,7
BLK,8,21050.1127628209,1900,1,8
BLK,9,22407.9845730098,1900,1,9
BLK,10,24316.6018835125,1900,1,10
BLK,11,25857.7303817266,1900,1,11
BLK,12,26568.6095101796,1900,1,12
BLK,13,26199.6992545816,1900,1,13
BLK,14,25305.034638574,1900,1,14
BLK,15,25044.9914819817,1900,1,15
BLK,16,25295.877269558,1900,1,16
BLK,17,27129.2746429771,1900,1,17
BLK,18,29673.6212402987,1900,1,18
BLK,19,30103.2646751877,1900,1,19
BLK,20,30027.175233323,1900,1,20
BLK,21,29390.1555253957,1900,1,21
BLK,22,28245.4655151491,1900,1,22
BLK,23,27218.2468433014,1900,1,23
BLK,24,25296.4350892305,1900,1,24
BLK,3577,17487.6545544653,1900,150,1
BLK,3578,15656.0795304572,1900,150,2
BLK,3579,14525.983115359,1900,150,3
BLK,3580,14115.1496545296,1900,150,4
BLK,3581,14050.0261301852,1900,150,5
BLK,3582,14016.2884777242,1900,150,6
BLK,3583,15713.7119839461,1900,150,7
