method,clustering,blended,month,num_periods,avg_total_cost,time,scenario,scenario_cost
per_scenario,convex_hull,false,1,100,2.44496886925311e9,94.627261,2009,5.08761516831956e8
per_scenario,convex_hull,false,1,100,2.44496886925311e9,94.627261,2012,1.299662183671156e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,1900,1.674864264603561e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,1982,1.54385117279381e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,1987,1.545614857657662e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,1992,3.21282308017743e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,1995,1.537458125734849e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,1997,1.547382845347577e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,2002,1.718323050562037e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,2008,1.535531598770555e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,2009,1.546911586737821e9
cross_scenario,k_medoids,true,1,100,1.874363172397174e9,100.3624345,2012,2.880835430390847e9
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,1900,4.072747467219302e9
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,1982,7.90968368969172e8
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,1987,9.83853845787997e8
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,1992,5.055470443134399e9
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,1995,1.2858776619714541e9
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,1997,8.54166262180856e8
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,2002,2.157964720788602e9
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,2008,7.79104505655008e8
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,2009,1.151192334929206e9
cross_scenario,k_medoids,false,1,100,2.314303285068856e9,125.3163888,2012,6.011688111188188e9
group_scenario,k_medoids,true,1,100,3.185325186183485e9,97.4449978,1900,1.364387275864663e9
