method,distance,num_periods,clustering,month,avg_total_cost,time,time_with_dispatch,scenario,scenario_cost
convex_hull,CityBlock,100,cross_scenario,2,9.115114089356773e7,82.0093128,105.9837875,2008,9.010369068956074e7
convex_hull,CityBlock,100,cross_scenario,2,9.115114089356773e7,82.0093128,105.9837875,2009,1.1862293616965026e8
convex_hull,CityBlock,100,cross_scenario,2,9.115114089356773e7,82.0093128,105.9837875,2012,9.778134701342693e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,1900,6.805017842647791e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,1982,7.616311883482747e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,1987,1.0436943514662856e8
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,1992,6.982088695148206e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,1995,7.058257034015064e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,1997,8.1862271597304e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,2002,7.469417890407436e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,2008,7.910446319444278e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,2009,8.22453125572482e7
convex_hull,CityBlock,100,cross_scenario,3,7.845218788417198e7,103.0307651,129.700031,2012,7.762946288908382e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,1900,6.28169124876552e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,1982,7.174661213105068e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,1987,7.175742616934201e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,1992,6.990281795734212e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,1995,6.758000978060986e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,1997,6.902856234795344e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,2002,7.909907723119187e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,2008,7.155845491720642e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,2009,7.622555359706844e7
convex_hull,CityBlock,100,cross_scenario,4,7.184139450143823e7,98.5897756,123.5065243,2012,7.869851839496237e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,1900,5.0247702611494556e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,1982,7.179279129357514e7
convex_hull,CityBlock,100,cross_scenario,5,6.045426259273512e7,92.1031336,117.3597759,1987,6.181656031640938e7
