method,distance,num_periods,clustering,avg_total_cost,time,scenario,scenario_cost
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,1900,8.16897602705207e7
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,1982,9.268440255804792e7
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,1987,1.1348165067425513e8
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,1992,9.448161936783743e7
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,1995,8.78126418277519e7
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,1997,1.2680771700562538e8
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,2002,8.860492211858594e7
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,2008,7.401219146234658e7
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,2009,9.037035815250853e7
blended,CityBlock,100,cross_scenario,9.437714968111557e7,75.6506398,2012,9.382623337367609e7
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,1900,8.280240287106898e7
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,1982,9.289788678933254e7
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,1987,1.1345444115233709e8
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,1992,9.445121196359295e7
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,1995,8.800734337167105e7
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,1997,1.2637848943802461e8
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,2002,8.84797406203546e7
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,2008,7.403964444396006e7
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,2009,9.021101184704222e7
blended,CityBlock,150,cross_scenario,9.442954855310692e7,171.9125177,2012,9.357331303368503e7
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,1900,1.1951561184956795e8
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,1982,1.2605203717549601e8
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,1987,1.5893658787523738e8
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,1992,1.0634122087718207e8
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,1995,9.129099476237303e7
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,1997,1.7627807943984705e8
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,2002,9.992894369970985e7
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,2008,7.057331321224394e7
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,2009,9.843486087298533e7
blended,CityBlock,20,cross_scenario,1.1477706820501491e8,6.8522121,2012,1.0041903228550658e8
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,1900,8.838461708818498e7
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,1982,9.685116275997518e7
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,1987,1.150738140436894e8
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,1992,9.620033713626024e7
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,1995,8.829026133866617e7
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,1997,1.360877886511263e8
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,2002,9.088747434382096e7
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,2008,7.357848793377626e7
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,2009,9.01877755398936e7
blended,CityBlock,50,cross_scenario,9.708423105236171e7,24.9276053,2012,9.53005916882241e7
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,1900,8.225046250228125e7
blended,CityBlock,100,group_scenario,9.414599031045827e7,92.5544479,1982,9.231567282465373e7
