method,clustering,blended,num_periods,cost,time,distance,data
cross_scenario,k_medoids,false,20,3.13461983420966e8,7.7601075,CityBlock,closer
cross_scenario,k_medoids,false,3,1.2616150766515915e10,0.7409971,CityBlock,closer
cross_scenario,k_medoids,false,10,4.87995589676196e8,3.2394256,CosineDist,closer
cross_scenario,k_medoids,false,20,3.12482759317204e8,7.2928357,CosineDist,closer
cross_scenario,k_medoids,false,3,1.5268229581678722e10,0.7598698,CosineDist,closer
cross_scenario,k_medoids,false,10,4.67275510912248e8,3.5353014,SqEuclidean,closer
cross_scenario,k_medoids,false,20,2.80641725935415e8,7.6582365,SqEuclidean,closer
cross_scenario,k_medoids,false,3,1.5268229581678722e10,0.674907,SqEuclidean,closer
cross_scenario,k_means,false,10,9.06125509692156e8,3.4984445,CityBlock,closer
cross_scenario,k_means,false,20,2.70775255078903e8,7.5012241,CityBlock,closer
cross_scenario,k_means,false,3,1.3352062648093649e10,0.6984202,CityBlock,closer
cross_scenario,k_means,false,10,9.06125509692156e8,3.5144701,CosineDist,closer
cross_scenario,k_means,false,20,2.47923791236992e8,7.3899452,CosineDist,closer
cross_scenario,k_means,false,3,1.3352062648093649e10,0.6962944,CosineDist,closer
cross_scenario,k_means,false,10,9.06125509692156e8,3.4792396,SqEuclidean,closer
cross_scenario,k_means,false,20,2.70775255078903e8,8.1873144,SqEuclidean,closer
cross_scenario,k_means,false,3,1.3352062648093649e10,0.7191152,SqEuclidean,closer
cross_scenario,convex_hull,false,10,5.0219109125279e7,3.8489542,CityBlock,closest
cross_scenario,convex_hull,false,20,5.0219110447477e7,9.9052806,CityBlock,closest
cross_scenario,convex_hull,false,3,4.35488818893185e8,0.5677231,CityBlock,closest
cross_scenario,convex_hull,false,10,5.0219290450328e7,3.5798568,CosineDist,closest
cross_scenario,convex_hull,false,20,5.0219437760568e7,8.3545676,CosineDist,closest
cross_scenario,convex_hull,false,3,4.35489770092018e8,0.6866779,CosineDist,closest
cross_scenario,convex_hull,false,10,5.0219090623927e7,4.3265013,SqEuclidean,closest
cross_scenario,convex_hull,false,20,5.0219416416507e7,8.2003777,SqEuclidean,closest
cross_scenario,convex_hull,false,3,4.35488818893185e8,0.6078525,SqEuclidean,closest
stochastic,stochastic,false,0,5.0222543630924e7,67.1238484,N/A,closest
cross_scenario,k_medoids,false,10,1.53852342331953e8,3.568511,CityBlock,closest
cross_scenario,k_medoids,false,20,1.02522189197658e8,7.5767725,CityBlock,closest
cross_scenario,k_medoids,false,3,1.54125602327568e9,0.6884184,CityBlock,closest
cross_scenario,k_medoids,false,10,1.51819942784046e8,3.3815567,CosineDist,closest
cross_scenario,k_medoids,false,20,1.02565814402636e8,7.6190057,CosineDist,closest
cross_scenario,k_medoids,false,3,1.787525543407669e9,0.6036382,CosineDist,closest
cross_scenario,k_medoids,false,10,1.24102607493622e8,3.7303914,SqEuclidean,closest
