location,time_step,scenario,loss_of_load
NOR,46,1995,634.5889606202691
NOR,47,1995,2835.3828552635878
NED,56,1995,350.2562943615858
NED,57,1995,1885.9817214479617
NOR,61,1995,7.411767001985936
NOR,62,1995,6603.155420755931
NOR,63,1995,17363.20692618678
NED,64,1995,1426.8913622714526
NOR,64,1995,19213.727928089706
NED,65,1995,4154.122943184678
NOR,65,1995,15192.73908309795
NED,66,1995,3547.6014015779156
NOR,66,1995,8821.136635588799
NED,67,1995,3170.268402879372
NOR,67,1995,1855.973833983684
POR,67,1995,3.4549895030490916
NED,68,1995,1256.6749913864824
POR,68,1995,4.449645587285971
NED,134,1995,44.98500532576736
NED,135,1995,465.25526000844843
POL,179,1995,13.671320934900109
NOR,286,1995,12708.13800752021
NOR,287,1995,14338.24124429388
NOR,288,1995,13709.275076187903
NOR,289,1995,9249.414491195988
NOR,290,1995,4634.214136242705
POR,356,1995,36.23821808464184
NED,582,1995,496.123220589069
NED,583,1995,3026.9933554905238
NED,584,1995,4385.69921053814
NED,585,1995,5832.098458889869
NED,586,1995,6241.632607818267
NED,587,1995,5464.918985561622
NED,588,1995,5435.770424365319
NED,589,1995,6752.218171145715
NED,590,1995,6377.072896624301
NED,591,1995,6307.121926959814
NED,592,1995,7259.21344344827
NED,593,1995,7640.720205317114
NED,594,1995,7049.839194100009
NED,595,1995,3521.5309202223116
NOR,647,1995,5112.151092674621
NOR,648,1995,6798.913493279686
NOR,649,1995,7124.186013698902
NOR,650,1995,5517.918890523297
NOR,651,1995,2577.7975666299862
NOR,669,1995,2433.264431372141
NOR,670,1995,5568.822528866205
NOR,671,1995,9003.156655976753
NOR,672,1995,10246.324908041042
NOR,673,1995,10378.440938488566
NOR,674,1995,11312.595096372606
NOR,675,1995,11758.059623057323
NOR,676,1995,11885.105554856185
NOR,677,1995,11734.984962832641
NOR,678,1995,12555.75935266578
NOR,679,1995,13528.644345299428
NOR,680,1995,13249.278497777676
NOR,681,1995,12071.847235942896
NOR,682,1995,854.4800353094215
NED,715,1995,3080.3253184036134
NOR,715,1995,2250.672845716981
NED,716,1995,7591.644026906003
NOR,716,1995,9819.991101291456
NED,717,1995,9267.42385229265
NOR,717,1995,6406.131067099464
NED,718,1995,10099.703559845495
NOR,718,1995,738.1517988898122
NED,719,1995,8432.329630595645
NED,720,1995,6688.228654868262
