method,distance,num_periods,clustering,avg_total_cost,scenario_cost1900,scenario_cost1982,scenario_cost1987,scenario_cost1992,scenario_cost1995,scenario_cost1997,scenario_cost2002,scenario_cost2008,scenario_cost2009,scenario_cost2012,time
convex_hull,SqEuclidean,150,crosscenario,9.516532716587129e7,8.288225148975518e7,9.425711265724313e7,1.2084227553516144e8,9.306520512246591e7,8.698114009933415e7,1.2889373529375452e8,8.875530861297634e7,7.254567025876942e7,8.946599561288455e7,9.396457697636838e7,121.0276115
convex_hull,SqEuclidean,20,crosscenario,1.1534982555836192e8,1.3002891544417888e8,1.2672655374374521e8,1.58115676472086e8,1.0133474581776947e8,9.08029140375286e7,1.7582711407533944e8,1.0196635819085364e8,7.125853700229919e7,9.495361918537155e7,1.02483821614447e8,6.9472038
convex_hull,SqEuclidean,50,crosscenario,1.0344274370311569e8,1.069644658390601e8,1.0584022700634989e8,1.365070905699649e8,9.617181773855907e7,8.592910878650352e7,1.4905935213394973e8,9.495963039710042e7,7.096916450197212e7,9.185515566308743e7,9.617142439460969e7,25.508959
convex_hull,SqEuclidean,10,perscenario,9.439212977857532e7,8.2387313260778e7,9.311648688249686e7,1.1244862289174876e8,9.466420905686402e7,8.820095939477602e7,1.2297532825118873e8,8.947980907032803e7,7.556642687466171e7,9.140778586298929e7,9.367435623992173e7,72.6391957
convex_hull,SqEuclidean,15,perscenario,9.431085192795777e7,8.209425416320379e7,9.341901262456349e7,1.133160993515053e8,9.383783057783383e7,8.826278885229076e7,1.229507461772869e8,8.908668717351198e7,7.537677920017049e7,9.116756609033042e7,9.359675506888083e7,159.3956002
convex_hull,SqEuclidean,2,perscenario,1.0192238351374125e8,9.164089107493499e7,1.016544316353293e8,1.1501672487781397e8,1.0224893384280244e8,9.802165747111888e7,1.2646800099469209e8,9.765115111892557e7,8.486811870336697e7,1.0283764883702248e8,9.881627658140567e7,7.3410408
convex_hull,SqEuclidean,5,perscenario,9.555223113018268e7,8.37137939765429e7,9.573046625922199e7,1.1227312376060548e8,9.585657412263073e7,9.023622893855926e7,1.248034809318806e8,8.993768562391779e7,7.614618097044101e7,9.376524938913482e7,9.30595273288922e7,26.0861036
k_means,CityBlock,10,completescenario,1.1339877727247077e8,8.604639952003232e7,1.2818095438720235e8,1.5851468725320345e8,1.1025031436730757e8,9.882105862022436e7,1.7873677770132554e8,1.0098420802360001e8,6.774577791036081e7,1.0403061041213262e8,1.0067698452931866e8,74.7153668
k_means,CityBlock,15,completescenario,9.97541472580511e7,7.693288177195524e7,1.0379536286786464e8,1.3049075083837718e8,9.923360949691534e7,9.017405302553615e7,1.4541709312650448e8,9.23856154752589e7,6.775533317919217e7,9.356465562317455e7,9.779211717573227e7,112.4133548
k_means,CityBlock,2,completescenario,2.009102973948918e8,1.817287546668076e8,2.2964968596001112e8,3.097679836710859e8,1.6993662007151502e8,1.2162782029593496e8,3.1265113317782396e8,2.3789104139217442e8,9.67988543026233e7,1.709244792100904e8,1.7812660120085078e8,8.0366088
k_means,CityBlock,5,completescenario,1.6253557793220878e8,1.425898394492498e8,1.969516254847268e8,2.4177072964544946e8,1.4262546606220138e8,1.087005698333169e8,2.853916495743558e8,1.526254932951423e8,7.079950297099236e7,1.3863077581998628e8,1.4527012718666643e8,23.7336009
k_means,CityBlock,100,crosscenario,1.0171965498785916e8,8.61773009744266e7,1.0494515363624254e8,1.3988645257424253e8,9.78738654976779e7,8.638751378175008e7,1.483162549310872e8,9.614649084749599e7,6.781831870369765e7,9.251413134330973e7,9.713106758866125e7,75.6778502
k_means,CityBlock,150,crosscenario,9.549647038584626e7,7.855150846724929e7,9.640631826161608e7,1.1977256523894218e8,9.552020104647079e7,8.742761601877539e7,1.3215062165417022e8,8.910624860773343e7,7.003543046950194e7,9.12510240232995e7,9.474317007070382e7,151.1256259
k_means,CityBlock,20,crosscenario,1.6462830917419553e8,1.3950828920512292e8,1.9702827245057794e8,2.5995347529830888e8,1.4350843244183674e8,1.0531381164394224e8,2.850850385494138e8,1.7803514306364816e8,7.501190908226249e7,1.2956262972595784e8,1.3327609028088427e8,6.7546843
k_means,CityBlock,50,crosscenario,1.2088743165246111e8,1.2129252399006802e8,1.2858059077735564e8,1.782778675820597e8,1.1050287140843472e8,9.221090631878462e7,1.9113339113542822e8,1.0972596024922559e8,6.6091276450789236e7,1.0334745513288632e8,1.07711473479579e8,21.3977362
k_means,CityBlock,10,perscenario,1.0400704856618257e8,8.423378800836824e7,1.1124746246503358e8,1.4120891471831664e8,1.00300699225588e8,8.925125051701468e7,1.5676330118896574e8,9.622300262266783e7,6.6645730381016806e7,9.498469826584274e7,9.921163826901135e7,80.3783531
k_means,CityBlock,15,perscenario,9.695853539514604e7,7.945535176997142e7,9.798564840094651e7,1.2761619041059603e8,9.529193407379162e7,8.622532560198815e7,1.372318160522297e8,9.086028936470616e7,6.910124074328496e7,9.060782164055742e7,9.520973589338845e7,115.1163502
k_means,CityBlock,2,perscenario,2.37432655439805e8,2.275696678278957e8,2.762192992644157e8,3.67576096443186e8,2.0358308263953346e8,1.3103809362587091e8,4.422945836273956e8,2.3957018389237022e8,8.103160337840663e7,2.06628853491268e8,1.988150902077079e8,8.1013587
k_means,CityBlock,5,perscenario,1.2175962340843108e8,9.954945663787816e7,1.3866459342860016e8,1.792228241381635e8,1.1518688710601689e8,9.728364975700027e7,1.9319504304063642e8,1.1188806036667289e8,6.714048619378051e7,1.0762814453248936e8,1.0783708888307261e8,25.8371773
k_means,CosineDist,10,completescenario,1.1354807571009097e8,8.590039694955905e7,1.2875074875443606e8,1.5914368557399386e8,1.103142895134714e8,9.763199887483186e7,1.7952682725067487e8,1.0196282996191451e8,6.740833770797291e7,1.030940298720676e8,1.0174761264198768e8,73.1459201
k_means,CosineDist,15,completescenario,9.954398305506411e7,7.738738490279475e7,1.0326234117678857e8,1.3047706438649637e8,9.869066800567853e7,9.038438563509443e7,1.449151561559846e8,9.215820337089564e7,6.769849052531555e7,9.333189228161302e7,9.713424410997957e7,111.6985581
k_means,CosineDist,2,completescenario,1.789233757368592e8,1.359592894492203e8,2.1158999658828008e8,2.6653546197934645e8,1.5985097464737737e8,1.1735562483546875e8,2.7347819067021316e8,2.1346965907406545e8,9.806089827076137e7,1.5141306567859638e8,1.6152059617526263e8,7.6752263
k_means,CosineDist,5,completescenario,1.6080911608863053e8,1.382022465699096e8,1.9523004608052543e8,2.410815524940307e8,1.4227006014404503e8,1.0644573619071776e8,2.7350650918637496e8,1.5956434475112307e8,7.450083497976388e7,1.3373950888446209e8,1.435503216053525e8,29.9332023
k_means,CosineDist,100,crosscenario,1.0357205946793416e8,9.082578810552776e7,1.0490178295047438e8,1.4903153419329974e8,9.755511935835707e7,8.713653156283888e7,1.5119006702396047e8,9.668075456854156e7,6.772754941835439e7,9.366756731370386e7,9.70039001842835e7,66.4744026
k_means,CosineDist,150,crosscenario,9.577673799926597e7,7.767607477460052e7,9.764108950364271e7,1.227516714672525e8,9.507631980253783e7,8.654244800152934e7,1.3347054819008413e8,8.937887624535955e7,6.965485349961935e7,9.099187622862034e7,9.458362227941334e7,119.4758064
k_means,CosineDist,20,crosscenario,1.4424424310100117e8,1.2291415482188988e8,1.7162678898618275e8,2.2343124518171114e8,1.2844001329760632e8,9.843197800612232e7,2.3418703045680112e8,1.5112667445855114e8,7.265101822183011e7,1.1741501307104254e8,1.2221851450827429e8,8.0017439
k_means,CosineDist,50,crosscenario,1.132203362236472e8,1.0312572693854228e8,1.2348411143230939e8,1.6702760309765702e8,1.026416486066147e8,8.723935001218511e7,1.6945866482260925e8,1.1093217032751182e8,6.839310293961218e7,9.719466553812268e7,1.0270631852130756e8,24.3563003
k_means,CosineDist,10,perscenario,1.0228102876380256e8,7.636466561426595e7,1.1107662134866723e8,1.3737089865292537e8,9.911010104525113e7,9.012952952939658e7,1.5338367067091337e8,9.59854743236971e7,6.729853779710898e7,9.407179011405799e7,9.801899854174179e7,63.8413681
k_means,CosineDist,15,perscenario,9.717904425352177e7,7.725372041334325e7,9.833485159980899e7,1.2824140485857171e8,9.584391974388674e7,8.780024250064938e7,1.3853161029359296e8,9.061286137059866e7,6.888405203439058e7,9.0380167038129e7,9.590761268224636e7,154.2923615
k_means,CosineDist,2,perscenario,1.4889997985453555e8,1.1749453032710518e8,1.7242187814614344e8,2.186372877167936e8,1.4271185713903305e8,1.0737288037272151e8,2.331377702512858e8,1.5044065151443553e8,7.856914146476996e7,1.3406049210738069e8,1.3415330950568682e8,7.2198261
k_means,CosineDist,5,perscenario,1.117833130468733e8,7.591304685211512e7,1.2528061001169613e8,1.6020840909660068e8,1.0954253570579807e8,9.236635587412252e7,1.6493337588474572e8,1.1172915963753307e8,7.01567767531593e7,1.0181469530594379e8,1.0588816534701857e8,26.8988197
k_means,SqEuclidean,10,completescenario,1.1354807571009097e8,8.590039694955905e7,1.2875074875443606e8,1.5914368557399386e8,1.103142895134714e8,9.763199887483186e7,1.7952682725067487e8,1.0196282996191451e8,6.740833770797291e7,1.030940298720676e8,1.0174761264198768e8,71.5452622
k_means,SqEuclidean,15,completescenario,9.954398305506411e7,7.738738490279475e7,1.0326234117678857e8,1.3047706438649637e8,9.869066800567853e7,9.038438563509443e7,1.449151561559846e8,9.215820337089564e7,6.769849052531555e7,9.333189228161302e7,9.713424410997957e7,117.5583195
k_means,SqEuclidean,2,completescenario,1.8313556344170946e8,1.4577087980547208e8,2.1119644273884237e8,2.765690678810846e8,1.6472351386539352e8,1.2203489984487896e8,2.719140541130291e8,2.1957283415934122e8,9.902339325205582e7,1.560831283364914e8,1.6446742042050558e8,7.5837381
k_means,SqEuclidean,5,completescenario,1.596981467355374e8,1.403243815821547e8,1.9180240492032832e8,2.3614389764762524e8,1.4202662640547854e8,1.0909379148172076e8,2.811021304485319e8,1.4928995163232085e8,7.101952970559283e7,1.3474465932264483e8,1.4143409420897603e8,24.7733972
k_means,SqEuclidean,100,crosscenario,1.0792835077866124e8,1.0298406219179691e8,1.1473520672527903e8,1.5302741388348877e8,9.739115057129353e7,8.547023179151797e7,1.6095804875689796e8,1.0448049246552485e8,6.871785387486587e7,9.333246326889886e7,9.818658425704858e7,60.3965555
k_means,SqEuclidean,150,crosscenario,9.579040601692992e7,7.777438352889909e7,9.719267944339183e7,1.2123766874874343e8,9.600892687235352e7,8.658741343407416e7,1.3365913257889561e8,8.948021474820212e7,6.945611994808659e7,9.138083143126477e7,9.512668943538812e7,121.2902908
k_means,SqEuclidean,20,crosscenario,1.5486928384837136e8,1.3015722772153577e8,1.8344498913111255e8,2.419572739312564e8,1.3890171275686982e8,1.0270342124661514e8,2.707422557656817e8,1.5107655672694892e8,7.229323570677269e7,1.3003705833274068e8,1.2737910716417976e8,6.6621267
k_means,SqEuclidean,5,crosscenario,2.967699072181943e8,2.2527273118485647e8,3.4366868792803466e8,4.2051767979558575e8,2.691990930217208e8,1.6839639610284528e8,5.0637421240871805e8,3.7083862525156236e8,1.4516077451740104e8,2.6665837372502175e8,2.5161249824619687e8,8.2411669
k_means,SqEuclidean,50,crosscenario,1.1582235459584254e8,1.1519661362277102e8,1.2276000193392682e8,1.7322901516410026e8,1.025220490982531e8,8.769917889746216e7,1.7395403673582423e8,1.1246851353759485e8,6.803434810278326e7,9.659365738943537e7,1.0576613147627437e8,23.9428302
k_means,SqEuclidean,10,perscenario,1.0324374711112595e8,7.919661987204811e7,1.1300037185727602e8,1.4046324439960778e8,9.907319606298277e7,8.885917089450371e7,1.5682057108432257e8,9.586929009669569e7,6.707741426959555e7,9.414805470208359e7,9.792953787214369e7,76.1871978
k_means,SqEuclidean,15,perscenario,9.678559864449327e7,7.85400750864293e7,9.878507141267145e7,1.246913782312066e8,9.596098215533248e7,8.854296975548118e7,1.368708419997952e8,8.885675124500418e7,6.905227927045918e7,9.177711964423919e7,9.477851764431378e7,116.3439768
k_means,SqEuclidean,2,perscenario,1.845049366200164e8,1.761281698354463e8,2.0405331494517493e8,3.0276682298204345e8,1.6837529108652532e8,1.0958380374339539e8,2.935915239577998e8,1.950642230433716e8,8.057319861300586e7,1.547542267907377e8,1.6015879120266372e8,8.1189277
k_means,SqEuclidean,5,perscenario,1.2227962395454508e8,9.732684042074114e7,1.3224168071883306e8,1.843484987448464e8,1.1931706061811182e8,9.880331308799514e7,1.9078841313714433e8,1.11097825587733e8,6.740042219898877e7,1.1234814454718345e8,1.0912404048387358e8,24.1070816
k_medoids,CityBlock,10,completescenario,9.511747213581824e7,8.070927858165199e7,9.369503696930677e7,1.1719790536179191e8,9.559336602272275e7,8.834415302478981e7,1.31299394411149e8,8.81595605199134e7,7.111298559260699e7,9.047561619675988e7,9.458742467748994e7,73.3605462
k_medoids,CityBlock,15,completescenario,9.428955179812065e7,8.013891529022096e7,9.370145621880615e7,1.1423972510677525e8,9.527685781972522e7,8.785241525538978e7,1.2655149505177188e8,8.822526104980929e7,7.205536950841056e7,9.140813454890828e7,9.344588813138913e7,147.3349245
k_medoids,CityBlock,2,completescenario,9.802129985766e7,8.536198010048075e7,9.86497972338849e7,1.1475569154955469e8,1.0198117517485899e8,9.09960125106535e7,1.294326284650704e8,9.157020163436088e7,7.426871887551515e7,9.591238746685441e7,9.728440556536631e7,7.5457232
k_medoids,CityBlock,5,completescenario,9.590814145427406e7,8.017787335253493e7,9.63198848361701e7,1.138794909755998e8,9.770589952362618e7,8.973018499419294e7,1.2763198095749167e8,9.05720295909254e7,7.352926097428526e7,9.527267593412803e7,9.426213340378627e7,28.1835215
k_medoids,CityBlock,100,crosscenario,9.491712584072769e7,7.956152002446206e7,9.472146147120138e7,1.195359096112898e8,9.444067534863678e7,8.639058502684565e7,1.2759478139318332e8,9.025435900153661e7,7.362566707732329e7,8.952254423620409e7,9.35237552165939e7,88.0513313
k_medoids,CityBlock,150,crosscenario,9.449223159974283e7,8.187743600490363e7,9.37135200910532e7,1.1593161504445857e8,9.389127248365474e7,8.764568622869837e7,1.2241891707390778e8,9.011671919917801e7,7.560014211525193e7,8.994983716892728e7,9.377717058739483e7,150.9704401
k_medoids,CityBlock,20,crosscenario,9.954312196378599e7,9.394645897345449e7,9.889644623485312e7,1.1474793054624036e8,1.0152418876859409e8,9.337852604559317e7,1.2370483648441076e8,9.39301010210195e7,7.868190747015008e7,9.813126668396208e7,9.848955740958224e7,6.3878791
k_medoids,CityBlock,50,crosscenario,9.632453890037523e7,7.863564595150742e7,9.94358311157304e7,1.2327452193979432e8,9.350035131976442e7,8.709469027150127e7,1.3208544367042151e8,9.129279850131592e7,7.374369240070042e7,9.066505284913854e7,9.351736098387802e7,28.6431515
k_medoids,CityBlock,10,perscenario,9.427886169366439e7,8.023671787069549e7,9.380768641061635e7,1.1534341250149316e8,9.501291071588871e7,8.683451789531705e7,1.2677323901116556e8,8.858018511565036e7,7.197906038305321e7,9.168924410837412e7,9.253164292438987e7,78.3669107
k_medoids,CityBlock,15,perscenario,9.469559704389602e7,8.406520328419101e7,9.39158958190924e7,1.0996562520368528e8,9.524339690033329e7,9.04681556351161e7,1.1981361066079706e8,9.000402010191017e7,7.636494337883025e7,9.264123831423464e7,9.447388114076996e7,144.139132
k_medoids,CityBlock,2,perscenario,1.0240577533832887e8,7.875829799956115e7,1.0943061833339617e8,1.3493045333171758e8,9.792501442430675e7,9.62989647311868e7,1.4615215696109802e8,9.43483349933055e7,7.421880085047899e7,9.304629219346645e7,9.89488195647714e7,7.2188024
k_medoids,CityBlock,5,perscenario,9.640957421688268e7,8.090520436330971e7,9.666976529284108e7,1.2579954558711568e8,9.401858617769134e7,8.624266038757405e7,1.3558285743132475e8,8.96205359507435e7,7.052440921045478e7,9.044057110147329e7,9.429160666629872e7,31.4859981
k_medoids,CosineDist,10,completescenario,9.536275959026188e7,8.096557991959502e7,9.34046463685987e7,1.1684316250347777e8,9.592203814954129e7,8.958525232303393e7,1.3136346265466926e8,8.869261166464618e7,7.130852718913743e7,9.052091967359376e7,9.502139545632535e7,79.1189905
k_medoids,CosineDist,15,completescenario,9.407956754249984e7,8.05847788225568e7,9.291805536381638e7,1.133175318939057e8,9.506933802597934e7,8.780594803973982e7,1.2534776737725618e8,8.854039114272192e7,7.247289403136542e7,9.118395366914245e7,9.355501705851437e7,165.6512977
k_medoids,CosineDist,2,completescenario,9.928253265170243e7,7.924651268208405e7,1.033947544187712e8,1.1896298372508551e8,9.942177622211635e7,9.588689226134422e7,1.3378186987140045e8,9.19303517370317e7,7.4409551595115e7,9.532530339553618e7,1.0046533060853952e8,6.5320714
k_medoids,CosineDist,5,completescenario,9.594096976692156e7,7.68101547992069e7,9.6005250985919e7,1.204545936510481e8,9.595853052758758e7,8.961631607732221e7,1.3242505456975538e8,8.94385619583711e7,7.085371100298989e7,9.170387214996165e7,9.614365194705388e7,28.0269689
k_medoids,CosineDist,100,crosscenario,9.546097627107307e7,7.911107423834176e7,9.728626768791804e7,1.2204939848015516e8,9.311274972269696e7,8.73581152043005e7,1.278216458438227e8,9.028184420684797e7,7.314029360609913e7,9.022136607533118e7,9.422700764521742e7,80.8347073
k_medoids,CosineDist,150,crosscenario,9.448525184050852e7,8.024326682878399e7,9.451997271555169e7,1.1652219840105349e8,9.366249600407241e7,8.814625014702016e7,1.2516938233602375e8,8.842211510467806e7,7.316079203690669e7,8.998099597819485e7,9.50250488528001e7,151.3223261
k_medoids,CosineDist,20,crosscenario,1.1478762250435655e8,8.688646663085835e7,1.2829725376450838e8,1.55199138925992e8,1.1384557602441396e8,1.0321171879984616e8,1.88941587479558e8,9.865386554425862e7,7.029025634013815e7,1.0233824312230891e8,1.0021211841168293e8,6.75576
k_medoids,CosineDist,50,crosscenario,9.92556279485586e7,7.917709779844773e7,1.0421479696661226e8,1.2559361761254051e8,9.743436899782512e7,9.311036573374653e7,1.431397129568826e8,9.01662131346673e7,7.111222134034581e7,9.183589214644304e7,9.677199279807496e7,27.6164875
k_medoids,CosineDist,10,perscenario,9.437909539114986e7,7.849358632897577e7,9.490460576247211e7,1.1630164584049547e8,9.444101490676314e7,8.71143153232353e7,1.2868884572568303e8,8.773832583162645e7,7.184525173554222e7,9.093694082904615e7,9.332642162765896e7,84.8861417
k_medoids,CosineDist,15,perscenario,9.446492043140826e7,7.785868415801427e7,9.513207939754036e7,1.1703391775745603e8,9.473124922842848e7,8.698947962887445e7,1.285159625860285e8,8.805911403443542e7,7.12523579254974e7,9.132265812232125e7,9.375370147548637e7,163.6111495
k_medoids,CosineDist,2,perscenario,1.1889889165364186e8,1.1502503625861669e8,1.2757260194960181e8,1.760314464260796e8,1.0727807534759623e8,9.12339654974286e7,1.9374296395733422e8,1.0309644354492512e8,6.6819904165918946e7,1.011089742939859e8,1.070795050949314e8,7.6201921
k_medoids,CosineDist,5,perscenario,1.0174195201299763e8,8.017129414742017e7,1.0427370146530774e8,1.378051738742641e8,9.899651558014634e7,9.033292320961502e7,1.5239561660135555e8,9.427945569272974e7,6.687437298382353e7,9.48310647841566e7,9.745940179115751e7,27.9426274
k_medoids,SqEuclidean,10,completescenario,9.474291464215273e7,8.215311584292555e7,9.199763436063111e7,1.164908911466499e8,9.534418078002653e7,8.81258670541547e7,1.2561598720116752e8,8.918395888015673e7,7.309195811711872e7,8.940897653592138e7,9.60165765027751e7,89.6788956
