rp,clustering,seed,num_periods,investment_cost,operational_cost,runtime,process_time,distance,data,loss_ct,loss,type,year
cross,convex_hull,1,100,3.39208e9,4.6224e9,25.9752345,25.0012534,SqEuclidean,blended,228,840921.4928690001,insample,2004
cross,convex_hull,1,100,3.39208e9,4.64528e9,33.2778182,33.4784697,SqEuclidean,blended,191,875393.880505,insample,2008
cross,convex_hull,1,100,3.39208e9,5.07982e9,27.3305816,25.8134239,SqEuclidean,blended,318,1.3266305409879996e6,insample,2011
cross,convex_hull,1,100,3.39208e9,4.35648e9,25.9559971,25.613295,SqEuclidean,blended,167,535929.303723,insample,2012
cross,convex_hull,1,100,3.39208e9,4.79324e9,26.0178285,25.4714061,SqEuclidean,blended,208,1.0009894321099998e6,insample,2016
cross,convex_hull,1,20,3.34155e9,1.50869e12,2.6150489,52.7097311,SqEuclidean,blended,557,6.984383825347999e6,initial,initial
cross,convex_hull,1,20,3.34155e9,5.92666e9,24.4352968,25.963344199999998,SqEuclidean,blended,694,2.142849465348e6,insample,1982
cross,convex_hull,1,20,3.34155e9,6.55434e9,25.2625613,31.209733399999998,SqEuclidean,blended,566,2.7222434510000004e6,insample,1986
cross,convex_hull,1,20,3.34155e9,4.40569e9,25.0818164,24.4696855,SqEuclidean,blended,302,667393.1559220002,insample,1990
cross,convex_hull,1,20,3.34155e9,5.76938e9,24.9742534,25.1596012,SqEuclidean,blended,421,1.991900207357e6,insample,1994
cross,convex_hull,1,20,3.34155e9,4.95198e9,24.5396979,24.8038975,SqEuclidean,blended,388,1.152385821542e6,insample,1998
cross,convex_hull,1,20,3.34155e9,5.1539e9,25.0269953,25.1215098,SqEuclidean,blended,501,1.366569362197e6,insample,2004
cross,convex_hull,1,20,3.34155e9,4.86716e9,27.2708838,30.3483297,SqEuclidean,blended,322,1.09223604157e6,insample,2008
cross,convex_hull,1,20,3.34155e9,5.49598e9,24.5604813,25.5646139,SqEuclidean,blended,508,1.7367490493269998e6,insample,2011
cross,convex_hull,1,20,3.34155e9,4.70568e9,25.2454158,25.2841847,SqEuclidean,blended,385,878016.6024580001,insample,2012
cross,convex_hull,1,20,3.34155e9,5.11533e9,24.7319513,24.8848045,SqEuclidean,blended,405,1.3171227745320003e6,insample,2016
cross,convex_hull,1,50,3.35487e9,1.42891e12,9.3358936,77.6183036,SqEuclidean,blended,558,6.987466249039998e6,initial,initial
cross,convex_hull,1,50,3.35487e9,5.6759e9,25.6056858,25.1713386,SqEuclidean,blended,557,1.88998039994e6,insample,1982
cross,convex_hull,1,50,3.35487e9,6.14889e9,25.3584781,25.1385969,SqEuclidean,blended,403,2.3136913318290003e6,insample,1986
cross,convex_hull,1,50,3.35487e9,4.29093e9,26.1008816,29.8879715,SqEuclidean,blended,242,551620.377263,insample,1990
cross,convex_hull,1,50,3.35487e9,5.62635e9,25.3741888,27.690412900000002,SqEuclidean,blended,342,1.847051531575e6,insample,1994
cross,convex_hull,1,50,3.35487e9,4.78329e9,26.7319144,24.7931403,SqEuclidean,blended,295,982286.6919859999,insample,1998
cross,convex_hull,1,50,3.35487e9,4.81229e9,25.0504326,24.7900256,SqEuclidean,blended,357,1.023000559857e6,insample,2004
cross,convex_hull,1,50,3.35487e9,4.73339e9,29.4327713,31.2596764,SqEuclidean,blended,227,957053.5371380001,insample,2008
cross,convex_hull,1,50,3.35487e9,5.27071e9,25.5892169,25.5393554,SqEuclidean,blended,411,1.5091498682709998e6,insample,2011
cross,convex_hull,1,50,3.35487e9,4.44645e9,26.4303433,23.6281573,SqEuclidean,blended,226,616584.8127920001,insample,2012
cross,convex_hull,1,50,3.35487e9,4.92249e9,25.6814398,25.8677663,SqEuclidean,blended,269,1.122449666151e6,insample,2016
cross,k_medoids,1005471400,100,3.35565e9,1.4101e12,26.1374282,67.13667290000001,SqEuclidean,blended,596,7.055330906543001e6,initial,initial
cross,k_medoids,1005471400,100,3.35565e9,5.64666e9,28.204402,28.446208799999997,SqEuclidean,blended,505,1.8459337603100003e6,insample,1982
cross,k_medoids,1005471400,100,3.35565e9,6.10091e9,26.919724,24.5886788,SqEuclidean,blended,375,2.2518976929490007e6,insample,1986
cross,k_medoids,1005471400,100,3.35565e9,4.28081e9,26.657558,24.8390709,SqEuclidean,blended,224,527741.238304,insample,1990
cross,k_medoids,1005471400,100,3.35565e9,5.58857e9,26.17118,25.678984099999997,SqEuclidean,blended,319,1.7951317114679995e6,insample,1994
cross,k_medoids,1005471400,100,3.35565e9,4.73513e9,26.7841232,26.0708165,SqEuclidean,blended,265,919946.969868,insample,1998
cross,k_medoids,1005471400,100,3.35565e9,4.81873e9,25.8441595,24.9418969,SqEuclidean,blended,326,1.0164057997080002e6,insample,2004
cross,k_medoids,1005471400,100,3.35565e9,4.69622e9,29.4450524,30.133544999999998,SqEuclidean,blended,210,906100.942294,insample,2008
cross,k_medoids,1005471400,100,3.35565e9,5.28042e9,26.0543027,25.6195701,SqEuclidean,blended,399,1.5056185844939998e6,insample,2011
cross,k_medoids,1005471400,100,3.35565e9,4.43924e9,25.9565246,25.4856065,SqEuclidean,blended,208,595571.1617090002,insample,2012
cross,k_medoids,1005471400,100,3.35565e9,4.86389e9,26.5866613,26.054089400000002,SqEuclidean,blended,230,1.049561857309e6,insample,2016
cross,k_medoids,1262311769,100,3.33443e9,1.07886e12,23.0862184,65.81099640000001,SqEuclidean,blended,603,7.143953553858e6,initial,initial
cross,k_medoids,1262311769,100,3.33443e9,5.53073e9,30.9605099,32.0856341,SqEuclidean,blended,476,1.752685497982e6,insample,1982
cross,k_medoids,1262311769,100,3.33443e9,6.00868e9,28.0428194,25.1568739,SqEuclidean,blended,341,2.182737515464001e6,insample,1986
cross,k_medoids,1262311769,100,3.33443e9,4.21831e9,27.0499808,25.3772375,SqEuclidean,blended,202,485874.112701,insample,1990
cross,k_medoids,1262311769,100,3.33443e9,5.54216e9,27.2348412,25.3025339,SqEuclidean,blended,288,1.7707762610260001e6,insample,1994
cross,k_medoids,1262311769,100,3.33443e9,4.65811e9,26.205365,25.3097204,SqEuclidean,blended,243,866015.081391,insample,1998
cross,k_medoids,1262311769,100,3.33443e9,4.66496e9,25.920284,24.748013099999998,SqEuclidean,blended,260,883977.031718,insample,2004
cross,k_medoids,1262311769,100,3.33443e9,4.65209e9,29.525757,31.571287,SqEuclidean,blended,193,883297.6475300002,insample,2008
cross,k_medoids,1262311769,100,3.33443e9,5.11329e9,26.4420819,24.8433607,SqEuclidean,blended,344,1.360112573362e6,insample,2011
cross,k_medoids,1262311769,100,3.33443e9,4.35174e9,26.6752803,23.9790772,SqEuclidean,blended,178,531477.792859,insample,2012
cross,k_medoids,1262311769,100,3.33443e9,4.80127e9,25.7456879,25.5072581,SqEuclidean,blended,213,1.0096928365109998e6,insample,2016
cross,k_medoids,1400059389,100,3.36396e9,1.18225e12,21.50123,66.7849233,SqEuclidean,blended,543,7.081670076358997e6,initial,initial
cross,k_medoids,1400059389,100,3.36396e9,5.47683e9,27.8653212,26.244349,SqEuclidean,blended,488,1.7010177285800003e6,insample,1982
cross,k_medoids,1400059389,100,3.36396e9,5.94068e9,26.0800574,25.0318464,SqEuclidean,blended,342,2.116601812640001e6,insample,1986
cross,k_medoids,1400059389,100,3.36396e9,4.19099e9,27.7045781,25.3745975,SqEuclidean,blended,190,461088.092868,insample,1990
cross,k_medoids,1400059389,100,3.36396e9,5.45872e9,26.471195,25.199992799999997,SqEuclidean,blended,278,1.690113375638e6,insample,1994
cross,k_medoids,1400059389,100,3.36396e9,4.59437e9,27.2679747,23.4751375,SqEuclidean,blended,223,804588.8529110003,insample,1998
cross,k_medoids,1400059389,100,3.36396e9,4.60274e9,26.9172856,24.770049399999998,SqEuclidean,blended,255,824032.4533520001,insample,2004
cross,k_medoids,1400059389,100,3.36396e9,4.57581e9,29.1162062,30.8898042,SqEuclidean,blended,184,809360.5150500002,insample,2008
cross,k_medoids,1400059389,100,3.36396e9,5.02061e9,26.5944886,25.85961,SqEuclidean,blended,339,1.2691560049299998e6,insample,2011
cross,k_medoids,1400059389,100,3.36396e9,4.30221e9,25.8768433,23.8571407,SqEuclidean,blended,176,484572.005906,insample,2012
cross,k_medoids,1400059389,100,3.36396e9,4.72065e9,27.051853,25.0046437,SqEuclidean,blended,211,931576.456504,insample,2016
cross,k_medoids,1693313909,100,3.33011e9,1.27904e12,21.325927,66.7375627,SqEuclidean,blended,613,7.13494209097e6,initial,initial
cross,k_medoids,1693313909,100,3.33011e9,5.69408e9,26.6870231,23.6278647,SqEuclidean,blended,582,1.9097524692229999e6,insample,1982
cross,k_medoids,1693313909,100,3.33011e9,6.18236e9,25.6324976,26.6054402,SqEuclidean,blended,452,2.350654006326e6,insample,1986
