rp,clustering,seed,num_periods,investment_cost,data,windon,windoff,solar
cross,k_medoids,4093639103,200,4.2174e9,blended,2.6048013233438e7,1.1022049390637e7,2.5703254590195004e7
cross,k_medoids,4109171108,200,4.2241e9,blended,2.6024732188979e7,1.1134143836984001e7,2.5559964403766e7
cross,k_medoids,535977374,200,4.21494e9,blended,2.6018881558624e7,1.1055375472271e7,2.5580891942424e7
cross,k_medoids,2427280835,400,4.21724e9,blended,2.606473190043e7,1.1032211560269e7,2.5625465934311e7
cross,k_medoids,2619392602,400,4.21004e9,blended,2.6020996780568e7,1.1016368147279e7,2.5569481667195998e7
cross,k_medoids,2782517393,400,4.21875e9,blended,2.6036560865658e7,1.1086513423031999e7,2.5543576156395998e7
cross,k_medoids,312313452,400,4.16571e9,blended,2.6048567003444e7,1.0623838477638999e7,2.5585098084015e7
cross,k_medoids,31988942,400,4.21917e9,blended,2.6061901797613e7,1.1029292964901999e7,2.569805240824e7
cross,k_medoids,3299859308,400,4.22207e9,blended,2.602219819497e7,1.1112286941511e7,2.5582567890813e7
cross,k_medoids,3416848122,400,4.21003e9,blended,2.6019547630329e7,1.1023796563276e7,2.5546669179568e7
cross,k_medoids,4200777459,400,4.21211e9,blended,2.6020082917795e7,1.1029525751917e7,2.5585881421601e7
cross,k_medoids,562750908,400,4.22692e9,blended,2.6048816257039e7,1.1102538003181e7,2.569805240824e7
cross,k_medoids,938822533,400,4.21499e9,blended,2.6057055361916002e7,1.1044968034711e7,2.5532692037501e7
cross,k_medoids,123456789,50,4.20841e9,blended,2.6019500031173e7,1.1e7,2.5582419220017e7
cross,k_medoids,1286268702,50,4.20969e9,blended,2.6018317928677e7,1.1012964211936e7,2.5577165618966e7
cross,k_medoids,1308502331,50,4.23686e9,blended,2.6019867286999e7,1.1234381477025999e7,2.5593042084168e7
cross,k_medoids,1573928461,50,4.15609e9,blended,2.6087794651014e7,1.0524129029795e7,2.5564245169284e7
cross,k_medoids,1991051616,50,4.11328e9,blended,2.6044639056369e7,1.0183023671734e7,2.5604148425326005e7
cross,k_medoids,2678701235,50,4.09454e9,blended,2.6019756641738e7,1.0048540588305e7,2.5583238525817e7
cross,k_medoids,3861234567,50,4.20973e9,blended,2.6039217088131998e7,1.1e7,2.5576507642015003e7
cross,k_medoids,477073181,50,4.21284e9,blended,2.6018614819068e7,1.1003198333728e7,2.5702394371004e7
cross,k_medoids,876543210,50,4.13813e9,blended,2.6021928627454e7,1.0408811965498e7,2.5591639968106e7
cross,k_medoids,987654321,50,4.21235e9,blended,2.6019643328731e7,1.1040468093009e7,2.5555671886643e7
cross,k_medoids,1090113321,800,4.12377e9,blended,2.6041577873639e7,1.0290948455591999e7,2.5540095920930002e7
cross,k_medoids,1155602729,800,4.12305e9,blended,2.6037173784032002e7,1.0280132445382e7,2.5566736316034e7
cross,k_medoids,2122787014,800,4.12523e9,blended,2.606536747016e7,1.0280187087623e7,2.5566794347127e7
cross,k_medoids,2889623452,800,4.12886e9,blended,2.6029118343512997e7,1.0341945171571e7,2.5538834555866003e7
cross,k_medoids,3011269584,800,4.12909e9,blended,2.6038087013043e7,1.0336586054299999e7,2.5543793093167e7
cross,k_medoids,3664645650,800,4.12506e9,blended,2.6083368400296e7,1.0278161492734e7,2.5528152117258005e7
cross,k_medoids,3840754868,800,4.12084e9,blended,2.6031226382087998e7,1.0278334898842e7,2.5522081372618005e7
cross,k_medoids,4064985653,800,4.16446e9,blended,2.6048740682826e7,1.0627592438105e7,2.5535227402036e7
cross,k_medoids,4280644831,800,4.14554e9,blended,2.6057528838820998e7,1.0463432557480998e7,2.5536741934321e7
