location,technology,capacity,units
AUS,Gas,8750.0,35
AUS,WindOn,15300.0,153
BEL,Gas,8000.0,32
BEL,WindOn,2500.0,25
BLK,Nuclear,35000.0,35
BLT,Gas,1250.0,5
BLT,Oil,100.0,1
BLT,WindOn,4000.0,40
CZE,Gas,1750.0,7
CZE,Nuclear,10000.0,10
DEN,Gas,6000.0,24
DEN,WindOn,6000.0,60
FIN,Gas,500.0,2
FIN,Nuclear,11000.0,11
FRA,Gas,2000.0,8
FRA,Nuclear,74000.0,74
GER,Gas,35250.0,141
GER,WindOn,78600.0,786
IRE,Gas,3500.0,14
IRE,WindOn,7800.0,78
ITA,Gas,20000.0,80
ITA,SunPV,5650.0,113
ITA,WindOn,50300.0,503
NED,SunPV,52200.0,1044
NED,WindOff,51100.0,511
NED,WindOn,3200.0,32
NOR,WindOn,138600.0,1386
POL,Gas,10250.0,41
POL,WindOff,12800.0,128
POL,WindOn,14600.0,146
POR,Gas,2500.0,10
POR,SunPV,2250.0,45
POR,WindOn,8800.0,88
SKO,Nuclear,3000.0,3
SPA,Gas,4250.0,17
SPA,Nuclear,28000.0,28
SWE,Nuclear,15000.0,15
SWI,Nuclear,16000.0,16
UKI,Gas,4750.0,19
UKI,Nuclear,29000.0,29
UKI,WindOn,30700.0,307
