location,time_step,scenario,loss_of_load
NED,424,1900,11.863207072101432
NED,425,1900,2029.1559926180007
NOR,425,1900,77.80228162479762
NED,426,1900,3561.044665843799
NED,427,1900,3669.2240483247992
NED,428,1900,2993.0704360651
NED,429,1900,2474.620945072401
NED,430,1900,2785.9322763201
NED,431,1900,3050.6425772509997
NED,432,1900,2168.418855361199
NED,433,1900,1045.6198789677005
NED,440,1900,3.03435372920012
NED,441,1900,1.083853668800657
NED,445,1900,979.9323132264053
NED,446,1900,2714.794170257007
NED,447,1900,5257.565303493602
NED,448,1900,6532.4261268523
NED,449,1900,7752.2086025203
NED,450,1900,10201.753972245899
NED,451,1900,9722.253966653998
NED,452,1900,9249.674579699598
NED,453,1900,6063.4756010694
NED,454,1900,4612.078683072699
NED,455,1900,2720.3786707706004
NED,456,1900,1423.5044331631993
NED,457,1900,190.60648484980084
NED,464,1900,407.9611598590982
NED,465,1900,1670.3549902605992
NED,466,1900,846.6127271425025
NED,467,1900,579.5787076769038
NOR,512,1900,1030.5349280453956
NOR,513,1900,1360.8090346251956
NOR,514,1900,2046.1732103262984
NOR,515,1900,2675.828500580197
NOR,516,1900,3885.426042598201
NOR,517,1900,4051.2082717037993
NOR,518,1900,3362.832653622896
NOR,519,1900,2036.8433330812986
NOR,520,1900,1264.6088367239954
NOR,521,1900,630.6517524588962
