from,to,rep_period,time_step,scenario,flow
AUS,CZE,3,18,1982,-900.0
AUS,CZE,3,19,1982,-900.0
AUS,CZE,3,20,1982,-900.0
AUS,CZE,3,21,1982,-900.0
AUS,CZE,3,22,1982,-900.0
AUS,CZE,3,23,1982,-816.3382729648663
AUS,CZE,3,24,1982,-747.5420203656276
AUS,GER,1,1,1982,4638.752296918512
AUS,GER,1,2,1982,5656.881978352682
AUS,GER,1,3,1982,6095.05945741771
AUS,GER,1,4,1982,4773.364194513408
AUS,GER,1,5,1982,6180.875289618044
AUS,GER,1,6,1982,5733.108177389497
AUS,GER,1,7,1982,4317.832562125831
AUS,GER,1,8,1982,2367.958978682865
AUS,GER,1,9,1982,2859.2010312354696
AUS,GER,1,10,1982,5936.997889181822
AUS,GER,1,11,1982,2590.5258923781607
AUS,GER,1,12,1982,3266.961700367272
AUS,GER,1,13,1982,4217.085747227365
AUS,GER,1,14,1982,7429.832875563334
AUS,GER,1,15,1982,3344.184189561696
AUS,GER,1,16,1982,6374.598002317487
AUS,GER,1,17,1982,5337.039768376966
AUS,GER,1,18,1982,5263.068982624051
AUS,GER,1,19,1982,2217.7718334195097
AUS,GER,1,20,1982,752.3479031728157
AUS,GER,1,21,1982,917.8569860870293
AUS,GER,1,22,1982,708.7715046254107
AUS,GER,1,23,1982,1345.2476148006008
AUS,GER,1,24,1982,1225.7120348507224
AUS,GER,2,1,1982,2511.8234749581716
AUS,GER,2,2,1982,1749.6468321388747
AUS,GER,2,3,1982,1347.085455244529
AUS,GER,2,4,1982,1063.439895964334
AUS,GER,2,5,1982,784.1910641113818
AUS,GER,2,6,1982,618.6864881170732
AUS,GER,2,7,1982,806.3244081644743
AUS,GER,2,8,1982,1320.1271316177704
AUS,GER,2,9,1982,1806.9631697817174
AUS,GER,2,10,1982,2224.769560901661
AUS,GER,2,11,1982,2139.8537598609687
AUS,GER,2,12,1982,2525.3133578048582
AUS,GER,2,13,1982,3012.481005707491
AUS,GER,2,14,1982,3414.082082206699
AUS,GER,2,15,1982,3124.060131923068
AUS,GER,2,16,1982,2508.544367822944
AUS,GER,2,17,1982,4724.189556644683
AUS,GER,2,18,1982,4816.221798572927
AUS,GER,2,19,1982,4995.824802605651
AUS,GER,2,20,1982,4697.435831941755
AUS,GER,2,21,1982,4155.081536871493
AUS,GER,2,22,1982,5019.553243977391
AUS,GER,2,23,1982,6256.054521935085
AUS,GER,2,24,1982,7456.15275190968
AUS,GER,3,1,1982,7500.0
AUS,GER,3,2,1982,7500.0
AUS,GER,3,3,1982,7500.0
AUS,GER,3,4,1982,7500.0
AUS,GER,3,5,1982,7500.0
AUS,GER,3,6,1982,7500.0
AUS,GER,3,7,1982,7500.0
AUS,GER,3,8,1982,7500.0
AUS,GER,3,9,1982,7500.0
AUS,GER,3,10,1982,7500.0
AUS,GER,3,11,1982,7500.0
AUS,GER,3,12,1982,7500.0
AUS,GER,3,13,1982,7500.0
AUS,GER,3,14,1982,7500.0
AUS,GER,3,15,1982,7500.0
AUS,GER,3,16,1982,6773.638701949188
