location,technology,rep_period,time_step,scenario,production
BEL,WindOn,1,10,1982,6957.320941873286
BEL,WindOn,1,11,1982,6115.775021493954
BEL,WindOn,1,12,1982,5750.042384399376
BEL,WindOn,1,13,1982,5397.834802359287
BEL,WindOn,1,14,1982,5256.441370794747
BEL,WindOn,1,15,1982,5369.7751696685045
BEL,WindOn,1,16,1982,5506.487975151968
BEL,WindOn,1,17,1982,5877.7410502038865
BEL,WindOn,1,18,1982,6631.7331971266885
BEL,WindOn,1,19,1982,7149.089315536742
BEL,WindOn,1,20,1982,7470.799915239367
BEL,WindOn,1,21,1982,7615.145888507854
BEL,WindOn,1,22,1982,7630.770637829701
BEL,WindOn,1,23,1982,7324.167048588097
BEL,WindOn,1,24,1982,7387.031077387432
BEL,WindOn,2,1,1982,13309.420583340794
BEL,WindOn,2,2,1982,13065.345979454134
BEL,WindOn,2,3,1982,13058.016020586438
BEL,WindOn,2,4,1982,13164.74681608402
BEL,WindOn,2,5,1982,13252.14487107303
BEL,WindOn,2,6,1982,13205.817890348297
BEL,WindOn,2,7,1982,13394.217413620265
BEL,WindOn,2,8,1982,13834.407173256504
BEL,WindOn,2,9,1982,14262.514356721693
BEL,WindOn,2,10,1982,14265.654861682444
BEL,WindOn,2,11,1982,13902.139840709486
BEL,WindOn,2,12,1982,14042.919501282337
BEL,WindOn,2,13,1982,14048.575951847957
BEL,WindOn,2,14,1982,13883.663400545027
BEL,WindOn,2,15,1982,13894.126415660576
BEL,WindOn,2,16,1982,13680.41876926062
BEL,WindOn,2,17,1982,13428.585832445639
BEL,WindOn,2,18,1982,13466.652208518832
BEL,WindOn,2,19,1982,13678.075465807531
BEL,WindOn,2,20,1982,13480.32190694544
BEL,WindOn,2,21,1982,13052.80893327511
BEL,WindOn,2,22,1982,12776.798760825279
BEL,WindOn,2,23,1982,12233.504680487107
BEL,WindOn,2,24,1982,12034.7490504531
BEL,WindOn,3,1,1982,5818.298907613405
BEL,WindOn,3,2,1982,5881.859589642801
BEL,WindOn,3,3,1982,6209.3139256581235
BEL,WindOn,3,4,1982,6321.824549160855
BEL,WindOn,3,5,1982,6384.721888105685
BEL,WindOn,3,6,1982,6480.0091733328
BEL,WindOn,3,7,1982,6724.036733873259
BEL,WindOn,3,8,1982,7118.894076089291
BEL,WindOn,3,9,1982,7429.327025473111
BEL,WindOn,3,10,1982,7396.038278590979
BEL,WindOn,3,11,1982,7022.977496609852
BEL,WindOn,3,12,1982,6472.193681451713
BEL,WindOn,3,13,1982,6029.740266063368
BEL,WindOn,3,14,1982,5983.36587001615
BEL,WindOn,3,15,1982,6125.0984434783395
BEL,WindOn,3,16,1982,6406.294982302505
BEL,WindOn,3,17,1982,7015.561194369524
BEL,WindOn,3,18,1982,7775.119562049948
BEL,WindOn,3,19,1982,8317.743563555632
BEL,WindOn,3,20,1982,8656.888180564089
BEL,WindOn,3,21,1982,8918.171429785802
BEL,WindOn,3,22,1982,9066.462350306418
BEL,WindOn,3,23,1982,8724.93149989073
BEL,WindOn,3,24,1982,8648.644109851535
BLK,Nuclear,1,1,1982,5207.347234082867
BLK,Nuclear,1,2,1982,2607.3472340828666
BLK,Nuclear,1,3,1982,4295.1113048466905
BLK,Nuclear,1,4,1982,2361.0197428208558
BLK,Nuclear,1,5,1982,4961.019742820856
BLK,Nuclear,1,6,1982,7561.019742820856
BLK,Nuclear,1,7,1982,10161.019742820856
BLK,Nuclear,1,8,1982,12761.019742820856
BLK,Nuclear,1,9,1982,13000.0
BLK,Nuclear,1,10,1982,13000.0
BLK,Nuclear,1,11,1982,13000.0
BLK,Nuclear,1,12,1982,13000.0
BLK,Nuclear,1,13,1982,12071.93419531392
BLK,Nuclear,1,14,1982,11772.551901354775
BLK,Nuclear,1,15,1982,12760.571607672442
BLK,Nuclear,1,16,1982,13000.0
BLK,Nuclear,1,17,1982,13000.0
BLK,Nuclear,1,18,1982,13000.0
