location,technology,time_step,scenario,production
GER,Gas,1,1,750.0
GER,Gas,1,2,375.0
GER,Gas,1,3,250.0
GER,Gas,1,4,125.0
GER,SunPV,1,1,250.0
GER,SunPV,1,2,625.0
GER,SunPV,1,3,750.0
GER,SunPV,1,4,875.0
GER,SunPV,1,5,1000.0
GER,SunPV,1,6,1000.0
