location,rep_period,time_step,scenario,loss_of_load
NED,1,1,2009,2029.874288937963
NED,1,2,2009,1989.3930563893289
NED,1,3,2009,2092.1931651679092
NED,1,4,2009,2224.1102737388455
NED,1,5,2009,1694.694377352494
NED,1,6,2009,958.3144127309964
NED,1,7,2009,980.5072389277504
NED,1,8,2009,1495.7765040769114
NED,1,9,2009,2066.3326436356365
NED,1,10,2009,1948.6895197156773
NED,1,11,2009,1194.265081254573
NED,1,12,2009,222.822924263047
NED,1,16,2009,320.9295714095164
NED,1,17,2009,1979.9263450781727
NOR,1,17,2009,1387.2685002597718
NED,1,18,2009,1413.5439142947657
NOR,1,18,2009,1900.1304255592586
NED,1,19,2009,1501.528123255634
NOR,1,19,2009,1571.3321631127255
NED,1,20,2009,1766.6038940503922
NOR,1,20,2009,336.5384270010218
NED,1,21,2009,1.0424598073459492
NED,1,46,2009,202.2304501277813
NED,1,47,2009,2714.5333735401673
NED,1,48,2009,2763.957029747259
NED,1,49,2009,2195.5448342823647
NED,1,50,2009,2661.1120322732613
NED,1,51,2009,2909.431940760872
NED,1,52,2009,2751.7988606985355
NED,1,53,2009,2474.4447870465365
NED,1,54,2009,643.5324151756322
NOR,1,74,2009,1261.2177007658884
NOR,1,75,2009,4874.469758236688
NOR,1,76,2009,8130.0204881566515
NOR,1,77,2009,9184.65546966513
NOR,1,78,2009,10488.012145766379
NOR,1,79,2009,10796.332704739303
NOR,1,80,2009,8090.0643808125515
NOR,1,81,2009,4339.718866847614
NOR,1,104,2009,1131.6113192538178
NOR,1,105,2009,1286.7046464268788
NOR,1,164,2009,12.669974045078561
NOR,1,165,2009,4934.8119950317
NOR,1,166,2009,7269.3937092410815
NED,1,167,2009,2679.0758558718853
NOR,1,167,2009,2027.3557209638711
NED,1,168,2009,3623.4718603627016
NED,1,169,2009,6685.1791692918305
NED,1,170,2009,6776.501221362466
NED,1,171,2009,6409.430372396494
NED,1,172,2009,5370.9052810723715
NED,1,173,2009,3741.2367483719304
NED,1,174,2009,144.2799615177355
NED,1,207,2009,2.4536581445627803
NED,1,208,2009,3449.0054045290804
NED,1,209,2009,5984.815638347794
NED,1,210,2009,5563.878433654088
NED,1,211,2009,5595.867021685465
NED,1,212,2009,5964.692994208415
NED,1,213,2009,5591.990716745537
NED,1,214,2009,5095.95863888011
NED,1,215,2009,5113.696594763301
NED,1,216,2009,4138.808468802321
NED,1,217,2009,1284.9756277355373
NOR,1,330,2009,927.4475261752268
NOR,1,331,2009,4865.460451086987
NOR,1,332,2009,6955.268691786478
NOR,1,333,2009,7907.7987074561315
NOR,1,334,2009,8129.183240709459
NOR,1,335,2009,4844.080975384602
NOR,1,336,2009,4815.174505510564
NOR,1,337,2009,315.5610904994028
ITA,1,377,2009,41.69507712159964
BLT,1,612,2009,2.3012875408366966
NED,1,639,2009,1775.3365037288258
NED,1,640,2009,3466.1679956191792
NED,1,641,2009,5713.6540680347025
NED,1,642,2009,5050.726886294106
NED,1,643,2009,1631.968579634532
