location,time_step,scenario,loss_of_load
NOR,3,1987,2251.045464265955
NOR,4,1987,5940.774532840492
NOR,5,1987,8020.0100614356215
NOR,6,1987,9449.205348052483
NOR,7,1987,11418.161682373659
NOR,8,1987,11931.797497143636
NOR,9,1987,11105.952162091882
NOR,10,1987,9501.550962076242
NOR,72,1987,4115.007906861432
NOR,73,1987,8309.251618005075
NOR,74,1987,10987.038808117086
NOR,75,1987,12007.222302547014
NOR,76,1987,7715.036838832064
NOR,141,1987,2806.6022280695197
NOR,142,1987,3889.06212754637
NOR,143,1987,1924.625289510896
NOR,144,1987,788.9342353295374
NOR,159,1987,7169.168874802339
NOR,160,1987,11359.096188337637
NOR,161,1987,13051.908152795066
NOR,162,1987,13582.59391460005
NOR,163,1987,13499.09394529898
NOR,164,1987,12098.218599094558
NOR,165,1987,9954.092989571385
NOR,166,1987,4611.4423321853155
NOR,366,1987,49.36046159859052
NOR,367,1987,4496.3470041737355
NOR,368,1987,5556.759361536623
NOR,369,1987,3440.2356752191126
NOR,380,1987,830.4004184151108
NED,401,1987,4973.265367115087
NED,402,1987,6223.537244175715
NED,403,1987,5902.295701388571
NED,404,1987,5406.079217548742
NED,405,1987,3341.3962620331454
NED,406,1987,1436.8632857279263
NED,407,1987,2420.735532863309
NED,408,1987,2357.4093452339425
NED,409,1987,1624.1743857344186
NED,410,1987,58.427646791459665
NED,432,1987,979.9047038190511
NED,433,1987,1981.7600357563892
NED,434,1987,1867.221289755872
NED,435,1987,1675.8914239368833
NED,436,1987,2595.8512871021803
NED,437,1987,4217.618148853922
NED,438,1987,4352.163210534115
NED,439,1987,5216.652811429374
NED,440,1987,5434.670661176095
NED,441,1987,5504.199544405296
NED,442,1987,2488.1594610035
NED,446,1987,418.61727007441414
NED,447,1987,2130.727472517009
NED,448,1987,5716.758391328991
NED,449,1987,9077.707356939878
NED,450,1987,10075.688581589062
NED,451,1987,10592.181353915728
NED,452,1987,11202.5868980655
NED,453,1987,10622.921390058398
NED,454,1987,9860.909564773949
NED,455,1987,8881.719632919674
NED,456,1987,7509.091162729697
NED,457,1987,3171.689936750011
NED,458,1987,2744.5800058114082
NED,459,1987,2371.5831132052517
NED,460,1987,2108.778147181436
NED,461,1987,1207.180971303349
NED,462,1987,568.7674421088491
NED,463,1987,560.7748878132552
NOR,490,1987,1726.6171300473402
NOR,491,1987,5084.245897944362
NOR,492,1987,7659.890428779914
NOR,493,1987,9126.267156187158
NOR,494,1987,9950.036487780164
NED,495,1987,201.68109083256604
NOR,495,1987,10693.225979079985
NED,496,1987,1366.5107396087665
NOR,496,1987,9762.94111331505
NED,497,1987,4532.0463298304985
NOR,497,1987,3184.165874926739
NED,498,1987,3120.29280700776
NOR,498,1987,130.98304837177056
NED,499,1987,3210.2315411610707
NED,500,1987,2673.384540186533
NED,501,1987,2491.895672336389
NED,502,1987,1206.312166137027
NED,514,1987,1417.1861013504495
POL,515,1987,30.45565302330499
NED,517,1987,1226.7347516901254
NED,518,1987,1930.3181594672815
NED,519,1987,1979.2457882626413
NED,520,1987,2517.9865002417782
NED,521,1987,1973.1471370375284
NED,522,1987,1102.2243214671435
NED,568,1987,2729.959646036238
NED,569,1987,4121.7566113137345
NED,570,1987,1801.4283631580784
NED,624,1987,1455.0884185647792
NED,625,1987,1112.5145147886874
NED,626,1987,1901.821611065977
NED,627,1987,2452.0415149011933
NED,628,1987,920.7565454301088
NED,714,1987,312.9803711774757
NED,719,1987,820.2467906940119
NED,720,1987,1832.1143733834315
